U92;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
900200;Head of State;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900201;Head of Government;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900202;Foreign Minister;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900203;Minister of Armament;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900204;Minister of Security;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900205;Head of Military Intelligence;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900206;Chief of Staff;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900207;Chief of Army;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900208;Chief of Navy;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900209;Chief of Air Force;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900210;Head of State;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900211;Head of Government;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900212;Foreign Minister;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900213;Minister of Armament;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900214;Minister of Security;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900215;Head of Military Intelligence;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900216;Chief of Staff;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900217;Chief of Army;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900218;Chief of Navy;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900219;Chief of Air Force;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900220;Head of State;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900221;Head of Government;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900222;Foreign Minister;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900223;Minister of Armament;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900224;Minister of Security;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900225;Head of Military Intelligence;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900226;Chief of Staff;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900227;Chief of Army;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900228;Chief of Navy;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900229;Chief of Air Force;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
