MLY;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
565001;Head of State;Sir Stenton Thomas;36;ML;Weary Stiffneck;High;M565001;x
565002;Head of Government;Sir Gerald W.R. Templer;36;ML;Old General;High;M565002;x
565003;Foreign Minister;Sir Henry Goldsworthy Gurney;36;ML;General Staffer;High;M565003;x
565004;Minister of Armament;Sir Hugh Stein Fraser;36;ML;Tank Proponent;Medium;M565004;x
565005;Minister of Security;Charles Hicks;36;ML;Back Stabber;Medium;M565005;x
565006;Head of Military Intelligence;Sir Gerald E.J. Gent;36;ML;Technical Specialist;Medium;M565006;x
565007;Chief of Staff;Sir William Dobbie;36;ML;School of Psychology;Medium;M565007;x
565008;Chief of Army;Arthur Percival;36;ML;Static Defence Doctrine;Medium;M565008;x
565009;Chief of Navy;John Atcherley;36;ML;Decisive Naval Battle Doctrine;Medium;M565009;x
565010;Chief of Air Force;G.T. Jarman;36;ML;Air Superiority Doctrine;Medium;M565010;x
565011;Head of State;Tunku Abdul Rahman;36;SD;Popular Figurehead;High;M565011;x
565012;Head of State;H.R.H. Iskander I of Perak;36;PA;Pig-headed Isolationist;High;M565012;x
565013;Head of Government;David S. Marshall;36;SD;Corporate Suit;High;M565013;x
565014;Head of Government;H.H. Ibrahim IV of Kelantan;36;PA;Backroom Backstabber;High;M565014;x
565015;Foreign Minister;Tan Cheng Lock;36;SD;Great Compromiser;High;M565015;x
565016;Foreign Minister;Hamza ul-Lail;36;PA;The Cloak N Dagger Schemer;High;M565016;x
565017;Minister of Armament;Abdul Rahman Shah;36;SD;Military Entrepreneur;Medium;M565017;x
565018;Minister of Armament;Thomas Ashton of Hyde;41;ML;Resource Industrialist;Medium;M565018;x
565019;Minister of Armament;H.R.H. Yahya ul-Naim;36;PA;laissez-faire capitalist;Medium;M565019;x
565020;Minister of Security;Lim Yew Hock;36;SD;Prince of Terror;Medium;M565020;x
565021;Minister of Security;Arthur E. Young;42;ML;Crime Fighter;Medium;M565021;x
565022;Minister of Security;Tuanku Muhammed of Negri Sembilan;36;PA;Efficient Sociopath;Medium;M565022;x
565023;Minister of Security;Abdul Hamid Ahmad;42;PA;Silent Lawyer;Medium;M565023;x
565024;Head of Military Intelligence;Muhammed Yang Besar;36;SD;Dismal Enigma;Medium;M565024;x
565025;Head of Military Intelligence;Lee Kuan Yew;43;SD;Industrial Specialist;Medium;M565025;x
565026;Head of Military Intelligence;Sir Gerald W.R. Templer;43;ML;Logistics Specialist;Medium;M565026;x
565027;Head of Military Intelligence;Abdul Manap bin Tolok;36;PA;Political Specialist;Medium;M565027;x
565028;Head of Military Intelligence;Idrus bin Tunka of Tampin;41;PA;Naval Intelligence Specialist;Medium;M565028;x
565029;Chief of Staff;Abdul Hamid Shah;36;SD;School of Defence;Medium;M565029;x
565030;Chief of Staff;Tun Abdul Rahman;44;SD;School of Manoeuvre;Medium;M565030;x
565031;Chief of Staff;Ibrahim al-Mansur;36;PA;School of Mass Combat;Medium;M565031;x
565032;Chief of Army;Muhib Sultan Badlishah;36;SD;Guns and Butter Doctrine;Medium;M565032;x
565033;Chief of Army;Robert Brooke-Popham;42;ML;Elastic Defence Doctrine;Medium;L1051;x
565034;Chief of Army;Sir Gerald W.R. Templer;45;ML;Decisive Battle Doctrine;Medium;M565034;x
565035;Chief of Army;Harun Putra of Perlis;36;PA;Armoured Spearhead Doctrine;Medium;M565035;x
565036;Chief of Navy;Mohammed Rahman Ali;36;SD;Base Control Doctrine;Medium;M565036;x
565037;Chief of Navy;Syed ul-Lail of Perlis;36;PA;Open Seas Doctrine;Medium;M565037;x
565038;Chief of Air Force;Wan Suleiman;36;SD;Carpet Bombing Doctrine;Medium;M565038;x
565039;Chief of Air Force;Hisam II of Selangor;36;PA;Naval Aviation Doctrine;Medium;M565039;x
