U86;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
800600;Head of State;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800601;Head of Government;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800602;Foreign Minister;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800603;Minister of Armament;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800604;Minister of Security;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800605;Head of Military Intelligence;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800606;Chief of Staff;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800607;Chief of Army;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800608;Chief of Navy;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800609;Chief of Air Force;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800610;Head of State;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800611;Head of Government;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800612;Foreign Minister;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800613;Minister of Armament;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800614;Minister of Security;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800615;Head of Military Intelligence;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800616;Chief of Staff;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800617;Chief of Army;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800618;Chief of Navy;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800619;Chief of Air Force;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800620;Head of State;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800621;Head of Government;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800622;Foreign Minister;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800623;Minister of Armament;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800624;Minister of Security;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800625;Head of Military Intelligence;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800626;Chief of Staff;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800627;Chief of Army;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800628;Chief of Navy;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800629;Chief of Air Force;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
