U71;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
700100;Head of State;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700101;Head of Government;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700102;Foreign Minister;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700103;Minister of Armament;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700104;Minister of Security;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700105;Head of Military Intelligence;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700106;Chief of Staff;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700107;Chief of Army;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700108;Chief of Navy;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700109;Chief of Air Force;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700110;Head of State;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700111;Head of Government;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700112;Foreign Minister;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700113;Minister of Armament;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700114;Minister of Security;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700115;Head of Military Intelligence;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700116;Chief of Staff;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700117;Chief of Army;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700118;Chief of Navy;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700119;Chief of Air Force;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700120;Head of State;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700121;Head of Government;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700122;Foreign Minister;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700123;Minister of Armament;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700124;Minister of Security;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700125;Head of Military Intelligence;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700126;Chief of Staff;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700127;Chief of Army;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700128;Chief of Navy;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700129;Chief of Air Force;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
