U70;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
700001;Head of State;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700003;Head of Government;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700004;Foreign Minister;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700005;Minister of Armament;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700006;Minister of Security;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700007;Head of Military Intelligence;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700008;Chief of Staff;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700009;Chief of Army;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700010;Chief of Navy;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700011;Chief of Air Force;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700012;Head of State;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700013;Head of Government;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700014;Foreign Minister;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700015;Minister of Armament;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700016;Minister of Security;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700017;Head of Military Intelligence;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700018;Chief of Staff;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700019;Chief of Army;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700020;Chief of Navy;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700021;Chief of Air Force;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700022;Head of State;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700023;Head of Government;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700024;Foreign Minister;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700025;Minister of Armament;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700026;Minister of Security;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700027;Head of Military Intelligence;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700028;Chief of Staff;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700029;Chief of Army;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700030;Chief of Navy;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700031;Chief of Air Force;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
