BHU;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
74001;Head of State;Jigme Wangchuk;36;PA;Ruthless Powermonger;High;M74001;x
74002;Head of Government;Sonam Tobgay Dorji;36;PA;Backroom Backstabber;High;M74002;x
74003;Foreign Minister;Sonam Tobgay Dorji;36;PA;Biased Intellectual;High;M74002;x
74004;Minister of Armament;Ahmad Akhaz;36;PA;Infantry Proponent;Medium;M74004;x
74005;Minister of Security;Mang-pos Bhur-ba'i Rgyalpo;36;PA;Man of the People;Medium;M74005;x
74006;Head of Military Intelligence;Reginald B. Stevens;36;PA;Dismal Enigma;Medium;M74006;x
74007;Chief of Staff;Namgyal Bahadur;36;PA;School of Manoeuvre;Medium;M74007;x
74008;Chief of Army;Philip Toozey;36;PA;Guns and Butter Doctrine;Medium;M74008;x
74009;Chief of Navy;Tommy Gould;36;PA;Indirect Approach Doctrine;Medium;M74009;x
74010;Chief of Air Force;Nicky Barr;36;PA;Air Superiority Doctrine;Medium;M74010;x
74011;Foreign Minister;Sir Basil Gould;37;PA;Iron Fisted Brute;High;M74011;x
74012;Foreign Minister;Namgyal Bahadur;38;PA;General Staffer;Medium;M74007;x
74013;Foreign Minister;Mang-pos Bhur-ba'i Rgyalpo;39;PA;Ideological Crusader;Medium;M74005;x
74014;Foreign Minister;Ahmad Akhaz;40;PA;The Cloak N Dagger Schemer;Medium;M74004;x
74015;Foreign Minister;William Stevenson Meyer;41;PA;Apologetic Clerk;Medium;M74015;x
74016;Foreign Minister;Arthur John Hopkinson;45;PA;Great Compromiser;High;M74016;x
74017;Foreign Minister;Edward Cook;45;PA;Biased Intellectual;High;M74017;x
74018;Minister of Armament;William Stevenson Meyer;37;PA;Resource Industrialist;Medium;M74015;x
74019;Minister of Armament;Karma S. Bahadur;38;PA;Military Entrepreneur;Medium;M74019;x
74020;Minister of Armament;Sonam Tobgay Dorji;39;PA;laissez-faire capitalist;Medium;M74002;x
74021;Minister of Armament;Edward Cook;39;PA;Administrative Genius;High;M74017;x
74022;Minister of Armament;Nicky Barr;40;PA;Air Superiority Proponent;Medium;M74010;x
74023;Minister of Armament;Tommy Gould;41;PA;Submarine Proponent;Medium;M74009;x
74024;Minister of Armament;Jigme Wangchuk;42;PA;Infantry Proponent;Medium;M74001;x
74026;Minister of Armament;Bill Collett;44;PA;Air to Ground Proponent;Medium;M74026;x
74027;Minister of Armament;Namgyal Bahadur;44;PA;Strategic Air Proponent;Medium;M74007;x
74028;Minister of Armament;Arthur John Hopkinson;44;PA;Theoretical Scientist;High;M74016;x
74029;Minister of Armament;Sonam Pradukha;45;PA;Tank Proponent;Medium;M74029;x
74030;Minister of Security;Ahmad Akhaz;39;PA;Prince of Terror;Medium;M74004;x
74031;Minister of Security;sir Basil Gould;40;PA;Silent Lawyer;High;M74011;x
74032;Minister of Security;Sonam Tobgay Dorji;40;PA;Man of the People;Medium;M74002;x
74033;Minister of Security;Namgyal Bahadur;42;PA;Compassionate Gentleman;Medium;M74007;x
74034;Minister of Security;Karma S. Bahadur;44;PA;Back Stabber;Medium;M74019;x
74035;Minister of Security;Edward Cook;44;PA;Efficient Sociopath;High;M74017;x
74036;Minister of Security;William Stevenson Meyer;45;PA;Crime Fighter;Medium;M74015;x
74037;Head of Military Intelligence;Arthur John Hopkinson;36;PA;Technical Specialist;High;M74016;x
74038;Head of Military Intelligence;Edward Cook;38;PA;Political Specialist;High;M74017;x
74039;Head of Military Intelligence;Namgyal Bahadur;41;PA;Industrial Specialist;Medium;M74007;x
74040;Head of Military Intelligence;Henry Weedon-Gould;43;PA;Logistics Specialist;Medium;M74040;x
74041;Head of Military Intelligence;Karma S. Bahadur;43;PA;Dismal Enigma;Medium;M74019;x
74042;Head of Military Intelligence;Tommy Gould;43;PA;Naval Intelligence Specialist;Medium;M74009;x
74043;Chief of Staff;Philip Toozey;39;PA;School of Defence;Medium;M74008;x
74044;Chief of Staff;Tommy Gould;43;PA;School of Psychology;Medium;M74009;x
74045;Chief of Staff;Reginald B. Stevens;41;PA;School of Manoeuvre;Medium;M74006;x
74046;Chief of Staff;Henry Weedon-Gould;42;PA;School of Mass Combat;Medium;M74040;x
74047;Chief of Staff;Sonam Pradukha;44;PA;School of Fire Support;Medium;M74029;x
74049;Chief of Army;Jigme Wangchuk;40;PA;Static Defence Doctrine;Medium;M74001;x
74050;Chief of Army;Reginald B. Stevens;43;PA;Decisive Battle Doctrine;Medium;M74006;x
74051;Chief of Army;Sonam Pradukha;45;PA;Armoured Spearhead Doctrine;Medium;M74029;x
74052;Chief of Army;Henry Weedon-Gould;45;PA;Guns and Butter Doctrine;Medium;M74040;x
74053;Chief of Navy;Ahmad Akhaz;44;PA;Decisive Naval Battle Doctrine;Medium;M74004;x
74054;Chief of Air Force;Bill Collett;43;PA;Army Aviation Doctrine;Medium;M74026;x
74055;Chief of Air Force;Namgyal Bahadur;45;PA;Carpet Bombing Doctrine;Medium;M74007;x
74056;Head of State;Jigme Dorji Wangchuk;52;PA;Weary Stiffneck;High;M74056;x
74057;Head of Government;Jigme Palden Dorji;52;PA;Corporate Suit;High;M74057;x
