U73;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
700300;Head of State;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700301;Head of Government;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700302;Foreign Minister;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700303;Minister of Armament;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700304;Minister of Security;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700305;Head of Military Intelligence;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700306;Chief of Staff;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700307;Chief of Army;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700308;Chief of Navy;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700309;Chief of Air Force;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700310;Head of State;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700311;Head of Government;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700312;Foreign Minister;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700313;Minister of Armament;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700314;Minister of Security;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700315;Head of Military Intelligence;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700316;Chief of Staff;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700317;Chief of Army;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700318;Chief of Navy;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700319;Chief of Air Force;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700320;Head of State;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700321;Head of Government;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700322;Foreign Minister;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700323;Minister of Armament;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700324;Minister of Security;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700325;Head of Military Intelligence;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700326;Chief of Staff;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700327;Chief of Army;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700328;Chief of Navy;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700329;Chief of Air Force;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
