U88;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
800800;Head of State;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800801;Head of Government;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800802;Foreign Minister;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800803;Minister of Armament;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800804;Minister of Security;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800805;Head of Military Intelligence;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800806;Chief of Staff;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800807;Chief of Army;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800808;Chief of Navy;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800809;Chief of Air Force;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800810;Head of State;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800811;Head of Government;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800812;Foreign Minister;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800813;Minister of Armament;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800814;Minister of Security;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800815;Head of Military Intelligence;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800816;Chief of Staff;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800817;Chief of Army;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800818;Chief of Navy;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800819;Chief of Air Force;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800820;Head of State;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800821;Head of Government;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800822;Foreign Minister;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800823;Minister of Armament;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800824;Minister of Security;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800825;Head of Military Intelligence;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800826;Chief of Staff;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800827;Chief of Army;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800828;Chief of Navy;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800829;Chief of Air Force;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
