KAZ;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
520001;Head of State;Nikolay Skvortsov;36;LWR;Die-hard Reformer;High;M520001;x
520002;Head of Government;Zhumabay Shayakmetov;36;LWR;Silent Workhorse;High;M520002;x
520003;Foreign Minister;Levon Mirzoyan;36;LWR;The Cloak N Dagger Schemer;High;M520003;x
520004;Minister of Armament;Azilkhan Nurshaykov;36;LWR;Air to Ground Proponent;Medium;M520004;x
520005;Minister of Security;Sherkan Murtaza;36;LWR;Crime Fighter;Medium;M520005;x
520006;Head of Military Intelligence;Sholpan Zhandarbekova;36;LWR;Dismal Enigma;Medium;M520006;x
520007;Chief of Staff;Ivan Susaikov;36;LWR;School of Manoeuvre;Medium;M520007;x
520008;Chief of Army;Talgat Bigeldinov;36;LWR;Decisive Battle Doctrine;Medium;M520008;x
520009;Chief of Navy;Ivan Sergeev;36;LWR;Decisive Naval Battle Doctrine;Medium;M520009;x
520010;Chief of Air Force;Arbuz Khan Arsen;36;LWR;Vertical Envelopment Doctrine;Medium;M520010;x
520011;Head of State;Dmitriy Snegin;36;ML;Insignificant Layman;High;M520011;x
520012;Head of State;Ali Khan Bukaiklianov;36;PA;Resigned Generalissimo;High;M520012;x
520013;Head of Government;Kakimbek Salykov;36;ML;Political Protege;High;M520013;x
520014;Head of Government;Aleksandr Dutov;36;PA;Old General;High;M520014;x
520015;Foreign Minister;Dimitrij Kunayev;36;LWR;Apologetic Clerk;High;M520015;x
520016;Foreign Minister;Shota Ualikhanov;36;ML;Great Compromiser;High;M520016;x
520017;Foreign Minister;Zaurbek Raibayev;36;PA;Iron Fisted Brute;High;M520017;x
520018;Minister of Armament;Mazhit Begaliyevm;36;LWR;laissez-faire capitalist;Medium;M520018;x
520019;Minister of Armament;Mukhtar Shakhanov;36;ML;Military Entrepreneur;Medium;M520019;x
520020;Minister of Armament;Gabiden Mustafin;36;PA;Tank Proponent;Medium;M520020;x
520021;Minister of Security;Sergey Oksanur;36;LWR;Silent Lawyer;Medium;M520021;x
520022;Minister of Security;Itgabit Musrepov;36;ML;Back Stabber;Medium;M520022;x
520023;Minister of Security;Asanbey Askarov;36;PA;Prince of Terror;Medium;M520023;x
520024;Minister of Security;Azerbayzhan Mambetov;36;PA;Silent Lawyer;Medium;M520024;x
520025;Head of Military Intelligence;Gabiden Mustafin;36;LWR;Industrial Specialist;Medium;M520020;x
520026;Head of Military Intelligence;Aizat Temirbek;36;ML;Dismal Enigma;Medium;M520026;x
520027;Head of Military Intelligence;Raushan Baglanova;36;PA;Political Specialist;Medium;M520027;x
520028;Chief of Staff;Gulzhan Aneshan;36;LWR;School of Defence;Medium;M520028;x
520029;Chief of Staff;Nikolai Suchkov;36;ML;School of Fire Support;Medium;M520029;x
520030;Chief of Staff;Aleksandr Dutov;36;PA;School of Mass Combat;Medium;M520030;x
520031;Chief of Army;Nikolai Starkov;36;LWR;Armoured Spearhead Doctrine;Medium;M520031;x
520032;Chief of Army;Nikolai Starostin;36;ML;Static Defence Doctrine;Medium;M520032;x
520033;Chief of Army;Ali Khan Bukaiklianov;36;PA;Guns and Butter Doctrine;Medium;M520012;x
520034;Chief of Navy;Dimitriy Samarski;36;LWR;Power Projection Doctrine;Medium;M520034;x
520035;Chief of Navy;Sarafin Sarkisyan;36;ML;Base Control Doctrine;Medium;M520035;x
520036;Chief of Navy;Manas Gulimbayzyl;36;PA;Indirect Approach Doctrine;Medium;M520036;x
520037;Chief of Air Force;Manas Gulimbayzyl;36;LWR;Naval Aviation Doctrine;Medium;M520036;x
520038;Chief of Air Force;Aleksandr Skvortsov;36;ML;Air Superiority Doctrine;Medium;M520038;x
520039;Chief of Air Force;Sarafin Sarkisyan;36;PA;Vertical Envelopment Doctrine;Medium;M520035;x
