U82;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
800200;Head of State;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800201;Head of Government;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800202;Foreign Minister;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800203;Minister of Armament;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800204;Minister of Security;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800205;Head of Military Intelligence;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800206;Chief of Staff;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800207;Chief of Army;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800208;Chief of Navy;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800209;Chief of Air Force;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800210;Head of State;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800211;Head of Government;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800212;Foreign Minister;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800213;Minister of Armament;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800214;Minister of Security;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800215;Head of Military Intelligence;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800216;Chief of Staff;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800217;Chief of Army;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800218;Chief of Navy;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800219;Chief of Air Force;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800220;Head of State;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800221;Head of Government;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800222;Foreign Minister;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800223;Minister of Armament;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800224;Minister of Security;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800225;Head of Military Intelligence;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800226;Chief of Staff;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800227;Chief of Army;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800228;Chief of Navy;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800229;Chief of Air Force;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
