U80;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
800000;Head of State;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800001;Head of Government;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800002;Foreign Minister;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800003;Minister of Armament;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800004;Minister of Security;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800005;Head of Military Intelligence;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800006;Chief of Staff;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800007;Chief of Army;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800008;Chief of Navy;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800009;Chief of Air Force;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800010;Head of State;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800011;Head of Government;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800012;Foreign Minister;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800013;Minister of Armament;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800014;Minister of Security;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800015;Head of Military Intelligence;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800016;Chief of Staff;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800017;Chief of Army;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800018;Chief of Navy;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800019;Chief of Air Force;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800020;Head of State;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800021;Head of Government;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800022;Foreign Minister;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800023;Minister of Armament;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800024;Minister of Security;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800025;Head of Military Intelligence;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800026;Chief of Staff;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800027;Chief of Army;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800028;Chief of Navy;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800029;Chief of Air Force;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
