U75;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
700500;Head of State;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700501;Head of Government;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700502;Foreign Minister;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700503;Minister of Armament;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700504;Minister of Security;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700505;Head of Military Intelligence;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700506;Chief of Staff;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700507;Chief of Army;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700508;Chief of Navy;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700509;Chief of Air Force;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700510;Head of State;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700511;Head of Government;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700512;Foreign Minister;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700513;Minister of Armament;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700514;Minister of Security;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700515;Head of Military Intelligence;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700516;Chief of Staff;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700517;Chief of Army;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700518;Chief of Navy;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700519;Chief of Air Force;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700520;Head of State;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700521;Head of Government;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700522;Foreign Minister;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700523;Minister of Armament;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700524;Minister of Security;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700525;Head of Military Intelligence;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700526;Chief of Staff;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700527;Chief of Army;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700528;Chief of Navy;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700529;Chief of Air Force;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
