SCO;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
561001;Head of State;Harold Harington Balfour;36;ML;Barking Buffoon;High;M561001;x
561002;Head of Government;John Stuart Lord Borthwick;36;ML;Silent Workhorse;High;M561002;x
561003;Foreign Minister;Lucius Plantagenet Falkland;36;ML;Great Compromiser;High;M561003;x
561004;Minister of Armament;James Fitzwarenne DeSpencer;36;ML;Battle Fleet Proponent;Medium;M561004;x
561005;Minister of Security;Herbrand Earl de la Warr;36;ML;Back Stabber;Medium;M561005;x
561006;Head of Military Intelligence;John Baron Kinross;36;ML;Dismal Enigma;Medium;M561006;x
561007;Chief of Staff;Philip Maxwell Balfour;36;ML;School of Psychology;Medium;L1018;x
561008;Chief of Army;S.T. Hakewill-Smith;36;ML;Elastic Defence Doctrine;Medium;L1152;x
561009;Chief of Navy;T.L. Bruce-Fraser;36;ML;Open Seas Doctrine;Medium;L1328;x
561010;Chief of Air Force;Owen Boyd;36;ML;Army Aviation Doctrine;Medium;L1418;x
561011;Head of State;Charles III Lord Walgrave;36;PA;Benevolent Gentleman;High;M561011;x
561012;Head of State;Henry McGrew;36;LWR;Die-hard Reformer;High;M561012;x
561013;Head of Government;James Duke of Abercorn;36;PA;Backroom Backstabber;High;M561013;x
561014;Head of Government;Ignatius R. Dunnachie;36;LWR;Happy Amateur;High;M561014;x
561015;Foreign Minister;Charles Duke of Gordon;36;PA;General Staffer;High;M561015;x
561016;Foreign Minister;Donald Cardross Erskine;36;LWR;Iron Fisted Brute;High;M561016;x
561017;Minister of Armament;Ian Campbell Gray;36;PA;Resource Industrialist;Medium;M561017;x
561018;Minister of Armament;Peter Drummond MacDonald;36;LWR;Military Entrepreneur;Medium;M561018;x
561019;Minister of Security;Charles Earl Breadalbane;36;PA;Man of the People;Medium;M561019;x
561020;Minister of Security;Malcolm MacDonald;36;LWR;Compassionate Gentleman;Medium;M561020;x
561021;Head of Military Intelligence;Charles Earl of Southesk;36;PA;Logistics Specialist;Medium;M561021;x
561022;Head of Military Intelligence;Marie Carmichael Stopes;36;LWR;Technical Specialist;Medium;M561022;x
561023;Chief of Staff;Harold Franklyn;36;PA;School of Defence;Medium;L1127;x
561024;Chief of Staff;Richard McCreery;36;LWR;School of Manoeuvre;Medium;L1216;x
561025;Chief of Army;Andrew McCulloch;36;PA;Static Defence Doctrine;Medium;L1217;x
561026;Chief of Army;W.M. St.George Kirke;36;LWR;Decisive Battle Doctrine;Medium;L1181;x
561027;Chief of Navy;Geoffrey Layton;36;PA;Decisive Naval Battle Doctrine;Medium;L1364;x
561028;Chief of Navy;Anthony Stokes;36;LWR;Indirect Approach Doctrine;Medium;L1391;x
561029;Chief of Air Force;Perry Keene;36;PA;Naval Aviation Doctrine;Medium;L1453;x
561030;Chief of Air Force;P.S. Sholto-Douglas;36;LWR;Carpet Bombing Doctrine;Medium;L1479;x
561031;Minister of Armament;George Buchanan;39;SL;Resource Industrialist;High;M561031;x
561032;Chief of Air Force;Sir Hugh Dowding;36;ML;Air Superiority Doctrine;High;L1435;x
561033;Foreign Minister;William Gallacher;36;LWR;Ideological Crusader;High;M561033;x
561034;Minister of Security;James Moxton;36;SD;Silent Lawyer;High;M561034;x
561035;Minister of Security;David Maxwell Fyfe;41;ML;Compassionate Gentleman;High;M1085;x
561036;Foreign Minister;Archibald Ramsay;43;FA;Iron Fisted Brute;Medium;M1054;x
561037;Foreign Minister;Douglas Duke of Hamilton;36;PA;The Cloak N Dagger Schemer;High;M561037;x
