U77;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
700700;Head of State;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700701;Head of Government;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700702;Foreign Minister;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700703;Minister of Armament;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700704;Minister of Security;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700705;Head of Military Intelligence;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700706;Chief of Staff;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700707;Chief of Army;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700708;Chief of Navy;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700709;Chief of Air Force;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700710;Head of State;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700711;Head of Government;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700712;Foreign Minister;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700713;Minister of Armament;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700714;Minister of Security;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700715;Head of Military Intelligence;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700716;Chief of Staff;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700717;Chief of Army;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700718;Chief of Navy;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700719;Chief of Air Force;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700720;Head of State;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700721;Head of Government;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700722;Foreign Minister;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700723;Minister of Armament;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700724;Minister of Security;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700725;Head of Military Intelligence;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700726;Chief of Staff;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700727;Chief of Army;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700728;Chief of Navy;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700729;Chief of Air Force;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
