U96;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
900600;Head of State;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900601;Head of Government;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900602;Foreign Minister;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900603;Minister of Armament;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900604;Minister of Security;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900605;Head of Military Intelligence;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900607;Chief of Staff;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900608;Chief of Army;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900609;Chief of Navy;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900610;Chief of Air Force;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900611;Head of State;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900612;Head of Government;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900613;Foreign Minister;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900614;Minister of Armament;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900615;Minister of Security;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900616;Head of Military Intelligence;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900617;Chief of Staff;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900618;Chief of Army;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900619;Chief of Navy;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900620;Chief of Air Force;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900621;Head of State;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900622;Head of Government;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900623;Foreign Minister;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900624;Minister of Armament;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900625;Minister of Security;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900626;Head of Military Intelligence;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900627;Chief of Staff;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900628;Chief of Army;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900629;Chief of Navy;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900630;Chief of Air Force;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
