CAN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
45001;Head of State;Sir John Buchan;36;ML;Benevolent Gentleman;High;M45001;x
45002;Head of Government;Mackenzie King;36;ML;Flamboyant Tough Guy;High;M45002;x
45003;Foreign Minister;Mackenzie King;36;ML;Great Compromiser;Undying;M45002;x
45004;Minister of Armament;Ian A. Mackenzie;36;ML;Administrative Genius;High;M45004;x
45005;Minister of Security;Ernest Lapointe;36;ML;Crime Fighter;Very High;M45005;x
45006;Head of Military Intelligence;Henry Crerar;36;ML;Technical Specialist;High;M45006;x
45007;Chief of Staff;Ernest Ashton;36;ML;School of Fire Support;Very High;M45007;x
45008;Chief of Army;Ernest Ashton;36;ML;Guns and Butter Doctrine;Very High;M45007;x
45009;Chief of Navy;Percy Nelles;36;ML;Open Seas Doctrine;Very High;M45009;x
45010;Chief of Air Force;George Croil;36;ML;Carpet Bombing Doctrine;Very High;M45010;x
45033;Head of State;Adrien Arcand;36;FA;Barking Buffoon;High;M45011;x
45034;Head of State;Tim Buck;36;ST;Insignificant Layman;High;M45021;x
45036;Head of Government;R.B. Bennett;36;SC;Silent Workhorse;High;M45036;x
45037;Head of Government;Robert Manion;40;SC;Naive Optimist;High;M45037;x
45038;Head of Government;John Bracken;44;SC;Smiling Oilman;High;M45038;x
45039;Head of Government;Adrien Arcand;36;FA;Happy Amateur;High;M45011;x
45040;Head of Government;Tim Buck;36;ST;Ambitious Union Boss;High;M45021;x
45042;Foreign Minister;Louis St-Laurent;46;ML;General Staffer;High;M45042;x
45043;Foreign Minister;R.B. Bennett;36;SC;Iron Fisted Brute;Undying;M45036;x
45044;Foreign Minister;Newton Wesley Rowell;38;SC;Ideological Crusader;High;M45044;x
45045;Foreign Minister;Robert Manion;40;SC;Apologetic Clerk;Undying;M45037;x
45046;Foreign Minister;John Bracken;44;SC;Biased Intellectual;Undying;M45038;x
45047;Foreign Minister;Adrien Arcand;36;FA;Ideological Crusader;Low;M45011;x
45048;Foreign Minister;Andrew Greene Carnell;44;PA;Iron Fisted Brute;Medium;M45016;x
45049;Foreign Minister;Tim Buck;36;ST;The Cloak N Dagger Schemer;Very Low;M45021;x
45050;Foreign Minister;Armand Lavassieux;42;LWR;Biased Intellectual;Medium;M45050;x
45051;Foreign Minister;John Lethbridge;45;LE;Ideological Crusader;Medium;M45028;x
45053;Minister of Armament;James Ralston;39;ML;Infantry Proponent;High;M45053;x
45054;Minister of Armament;Douglas S. Abbott;44;ML;Submarine Proponent;Very High;M45054;x
45055;Minister of Armament;Raoul Dandurand;36;ML;laissez-faire capitalist;Low;M45055;x
45056;Minister of Armament;Arthur Meighen;40;SC;Resource Industrialist;High;M45056;x
45057;Minister of Armament;C.D. Howe;40;SC;Administrative Genius;Very High;M45057;x
45058;Minister of Armament;John Ross Taylor;36;PA;Corrupt Kleptocrat;Very Low;M45014;x
45059;Minister of Armament;Tasker Cook;39;PA;Air to Ground Proponent;Medium;M45059;x
45060;Minister of Armament;Charles J. Howlett;42;PA;Infantry Proponent;Medium;M45060;x
45061;Minister of Armament;René St. Pierre;44;PA;Battle Fleet Proponent;Medium;M45061;x
45062;Minister of Armament;Pierre Gagnon;45;PA;Resource Industrialist;Medium;M45062;x
45063;Minister of Armament;Matthew Popovich;36;LWR;Tank Proponent;Low;M45024;x
45064;Minister of Armament;William Kashtan;38;LE;Resource Industrialist;Low;M45064;x
45065;Minister of Armament;Robert M. Edwards;41;LWR;Infantry Proponent;Medium;M45065;x
45066;Minister of Armament;Bob Mann;43;LE;Air Superiority Proponent;Medium;M45030;x
45069;Minister of Security;George W. Stephens;44;ML;Compassionate Gentleman;Medium;M45069;x
45070;Minister of Security;Thomas A. Crerar;36;ML;Man of the People;Very High;M45070;x
45071;Minister of Security;Gordon Graydon;40;SC;Silent Lawyer;High;M45071;x
45072;Minister of Security;Louis St. Laurent;41;ML;Crime Fighter;High;M45042;x
45073;Minister of Security;John Diefenbaker;44;SC;Man of the People;High;M45073;x
45074;Minister of Security;Chuck Crate;36;PA;Prince of Terror;Medium;M45015;x
45075;Minister of Security;Pierre St. Pierre;37;PA;Man of the People;Medium;M45075;x
45076;Minister of Security;Thomas Adams;41;PA;Compassionate Gentleman;Medium;M45076;x
45077;Minister of Security;Pierre Gagnon;42;PA;Crime Fighter;Medium;M45062;x
45078;Minister of Security;Jean Couillard;43;PA;Silent Lawyer;Medium;M45078;x
45079;Minister of Security;William G. Adams;45;PA;Back Stabber;Medium;M45079;x
45080;Minister of Security;Tom McEwan;36;LE;Crime Fighter;Medium;M45025;x
45081;Minister of Security;Robert Blackhawk;40;LWR;Man of the People;Medium;M45081;x
45082;Minister of Security;Gino Verchiella;41;LE;Efficient Sociopath;Medium;M45082;x
45083;Minister of Security;Quentin Piggott;43;LE;Compassionate Gentleman;Medium;M45083;x
45085;Head of Military Intelligence;Herbert Brown Ames;37;ML;Dismal Enigma;Very High;M45085;x
45086;Head of Military Intelligence;Kenneth Stuart;40;ML;Technical Specialist;Very High;M45086;x
45087;Head of Military Intelligence;Ralph Gibson;44;ML;Industrial Specialist;High;M45087;x
45088;Head of Military Intelligence;Maurice Pope;36;SC;Political Specialist;High;M45088;x
45089;Head of Military Intelligence;William G. Adams;44;SC;Naval Intelligence Specialist;Medium;M45079;x
45090;Head of Military Intelligence;Andrew Greene Carnell;36;PA;Political Specialist;Medium;M45016;x
45091;Head of Military Intelligence;Pierre Berton;38;PA;Dismal Enigma;Medium;M45091;x
45092;Head of Military Intelligence;René St. Pierre;41;PA;Industrial Specialist;Medium;M45061;x
45093;Head of Military Intelligence;Jean Couillard;43;PA;Naval Intelligence Specialist;Medium;M45078;x
45094;Head of Military Intelligence;Jacques Robert;36;LE;Political Specialist;Medium;M45094;x
45095;Head of Military Intelligence;John Lethbridge;42;LE;Logistics Specialist;Medium;M45028;x
45096;Head of Military Intelligence;Jacques Richard;43;LE;Naval Intelligence Specialist;Medium;M45096;x
45097;Head of Military Intelligence;William Dees;45;LE;Technical Specialist;Medium;M45026;x
45099;Chief of Staff;Thomas Anderson;40;ML;School of Defence;High;M45099;x
45100;Chief of Staff;Henry Crerar;42;ML;School of Psychology;High;M45006;x
45101;Chief of Staff;Kenneth Stuart;36;SC;School of Mass Combat;Very High;M45086;x
45102;Chief of Staff;John Murchie;40;SC;School of Fire Support;High;M45102;x
45103;Chief of Staff;Charles Foulkes;44;SC;School of Manoeuvre;Very High;M45103;x
45104;Chief of Staff;Frederick M.W. Harvey;36;PA;School of Mass Combat;Medium;M45017;x
45105;Chief of Staff;Robert M. Edwards;36;LWR;School of Defence;Medium;M45065;x
45106;Chief of Staff;Samuel Cino;43;LE;School of Fire Support;Medium;M45027;x
45108;Chief of Army;Thomas Anderson;40;ML;Static Defence Doctrine;High;M45099;x
45109;Chief of Army;Henry Crerar;44;ML;Armoured Spearhead Doctrine;High;M45006;x
45110;Chief of Army;Kenneth Stuart;36;SC;Decisive Battle Doctrine;Very High;M45086;x
45111;Chief of Army;John Murchie;40;SC;Armoured Spearhead Doctrine;High;M45102;x
45112;Chief of Army;Charles Foulkes;44;SC;Elastic Defence Doctrine;Very High;M45103;x
45113;Chief of Army;Frederick M.W. Harvey;44;PA;Guns and Butter Doctrine;Medium;M45017;x
45114;Chief of Army;Jacques Robert;36;LE;Static Defence Doctrine;Medium;M45094;x
45115;Chief of Army;John Lethbridge;42;LE;Elastic Defence Doctrine;Medium;M45028;x
45118;Chief of Navy;Alasdair Murray;36;PA;Base Control Doctrine;Medium;M45019;x
45119;Chief of Navy;Jean Couillard;38;PA;Indirect Approach Doctrine;Medium;M45078;x
45120;Chief of Navy;John F. King;36;LWR;Indirect Approach Doctrine;Medium;M45029;x
45121;Chief of Navy;Jacques Richard;39;LE;Power Projection Doctrine;Medium;M45096;x
45123;Chief of Air Force;Joseph Roméo Vachon;36;SC;Air Superiority Doctrine;Medium;M45123;x
45124;Chief of Air Force;P.W. Oland;36;PA;Army Aviation Doctrine;Medium;M45020;x
45126;Chief of Air Force;Gino Verchiella;36;LE;Air Superiority Doctrine;Medium;M45082;x
45127;Chief of Air Force;Bob Mann;43;LE;Army Aviation Doctrine;Medium;M45030;x
45128;Head of State;Sir John Buchan;36;SC;Benevolent Gentleman;High;M45001;x
45129;Head of State;Sir Lyman Poore Duff;40;SC;Popular Figurehead;High;M45129;x
45130;Head of State;Sir Lyman Poore Duff;40;ML;Popular Figurehead;High;M45129;x
45131;Head of State;Augustus Earl of Athlone;40;ML;Stern Imperialist;High;M45131;x
45132;Head of State;Augustus Earl of Athlone;40;SC;Stern Imperialist;High;M45131;x
45133;Head of State;Harold Viscount of Tunis;46;SC;Resigned Generalissimo;High;M45133;x
45134;Head of State;Harold Viscount of Tunis;46;ML;Resigned Generalissimo;High;M45133;x
45135;Head of Government;Louis St-Laurent;48;ML;Old General;High;M45042;x
45136;Head of Government;Gordon Graydon;48;SC;Silent Workhorse;High;M45071;x
45137;Head of Government;J.L. Isley;52;SC;Silent Workhorse;High;M45137;x
45138;Foreign Minister;Lester B. Pearson;48;ML;Ideological Crusader;High;M45138;x
45139;Foreign Minister;Robert Stanfield;48;SC;Biased Intellectual;High;M45139;x
45140;Minister of Armament;Brooke Claxton;48;ML;Air Superiority Proponent;High;M45140;x
45141;Minister of Armament;Ralph Osbourne Campney;48;SC;laissez-faire capitalist;High;M45141;x
45142;Minister of Security;Stuart Sinclair Garson;48;ML;Man of the People;Very High;M45142;x
45143;Minister of Security;Edmond David Fulton;48;SC;Compassionate Gentleman;Very High;M45143;x
45144;Head of Military Intelligence;Walter Edward Harris;48;ML;Dismal Enigma;Very High;M45144;x
45145;Head of Military Intelligence;Bill Newson;51;SC;Logistics Specialist;Very High;M45145;x
45146;Head of State;Vincent Massey;52;SC;Autocratic Charmer;High;M45146;x
45147;Head of State;Vincent Massey;52;ML;Autocratic Charmer;High;M45146;x
45170;Head of State;George P. Vanier;59;SC;Popular Figurehead;High;M45170;x
45171;Head of State;George P. Vanier;59;ML;Popular Figurehead;High;M45170;x
45148;Head of Government;John Diefenbaker;57;SC;Flamboyant Tough Guy;High;M45042;x
45149;Head of Government;Lester B. Pearson;63;ML;Backroom Backstabber;High;M45138;x
45150;Foreign Minister;Howard Charles Green;57;SC;Ideological Crusader;High;M45150;x
45151;Foreign Minister;Paul Joseph Martin sr.;63;ML;Great Compromiser;High;M45151;x
45152;Minister of Armament;George Pearkes;57;SC;Infantry Proponent;High;M45152;x
45153;Minister of Armament;Doug Harkness;60;SC;laissez-faire capitalist;High;M45153;x
45154;Minister of Armament;Gordon M. Churchill;63;SC;Strategic Air Proponent;High;M45154;x
45155;Minister of Armament;Paul Hellyer;63;ML;Military Entrepreneur;High;M45155;x
45156;Minister of Security;Donald M. Fleming;62;SC;Prince of Terror;Very High;M45156;x
45157;Minister of Security;Lionel Chevrier;63;ML;Crime Fighter;Very High;M45157;x
45158;Head of Military Intelligence;Douglas C. Abbott;49;ML;Political Specialist;High;M45158;x
