U91;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
900100;Head of State;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900101;Head of Government;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900102;Foreign Minister;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900103;Minister of Armament;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900104;Minister of Security;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900105;Head of Military Intelligence;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900106;Chief of Staff;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900107;Chief of Army;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900108;Chief of Navy;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900109;Chief of Air Force;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900110;Head of State;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900111;Head of Government;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900112;Foreign Minister;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900113;Minister of Armament;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900114;Minister of Security;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900115;Head of Military Intelligence;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900116;Chief of Staff;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900117;Chief of Army;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900118;Chief of Navy;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900119;Chief of Air Force;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900120;Head of State;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900121;Head of Government;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900122;Foreign Minister;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900123;Minister of Armament;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900124;Minister of Security;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900125;Head of Military Intelligence;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900126;Chief of Staff;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900127;Chief of Army;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900128;Chief of Navy;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900129;Chief of Air Force;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
