CAL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
572001;Head of State;Frank Finlay Merriam;36;PA;Die-hard Reformer;High;M572001;x
572002;Head of Government;Culbert Levy Olson;36;PA;Smiling Oilman;High;M572002;x
572003;Foreign Minister;Frank E. Homan;36;PA;Great Compromiser;High;M572003;x
572004;Minister of Armament;Angelo Rossi;36;PA;Corrupt Kleptocrat;Medium;M572004;x
572005;Minister of Security;Patrick J. Quinn;36;PA;Crooked Kleptocrat;Medium;M572005;x
572006;Head of Military Intelligence;Percy Benbough;36;PA;Naval Intelligence Specialist;Medium;M572006;x
572007;Chief of Staff;Herbert R. Temple;36;PA;School of Mass Combat;Medium;M572007;x
572008;Chief of Army;Gene D. James;36;PA;Decisive Battle Doctrine;Medium;M572008;x
572009;Chief of Navy;Joseph Reeves;36;PA;Power Projection Doctrine;Medium;L60458;x
572010;Chief of Air Force;Leroy Legowik;36;PA;Vertical Envelopment Doctrine;Medium;M572010;x
572011;Foreign Minister;Frank L. Shaw;38;PA;Apologetic Clerk;High;M572011;x
572012;Foreign Minister;David Prescott Burrows;40;PA;General Staffer;High;M572012;x
572013;Foreign Minister;Earl Warren;44;PA;Ideological Crusader;High;M572013;x
572014;Minister of Armament;Fletcher Bowron;39;PA;Resource Industrialist;Medium;M572014;x
572015;Minister of Armament;Henry Fountain Ashurst;40;PA;Submarine Proponent;Medium;M572015;x
572016;Minister of Armament;Harley Knox;42;PA;Administrative Genius;Medium;M572016;x
572017;Minister of Armament;Newell Stewart;44;PA;Air to Sea Proponent;Medium;M572017;x
572018;Minister of Security;Tom Monk;39;PA;Prince of Terror;Medium;M572018;x
572019;Minister of Security;Stewart Udall;41;PA;Compassionate Gentleman;Medium;M572019;x
572020;Minister of Security;John Dockweiler;41;PA;Crime Fighter;Medium;M572020;x
572021;Minister of Security;Roger Dearborn Lapham;44;PA;Silent Lawyer;Medium;M572021;x
572022;Head of Military Intelligence;Arthur D. Ferguson;38;PA;Dismal Enigma;Medium;M572022;x
572023;Head of Military Intelligence;Douglas Moore;39;PA;Technical Specialist;Medium;M572023;x
572024;Head of Military Intelligence;Arthur C. Ferguson;42;PA;Industrial Specialist;Medium;M572024;x
572025;Head of Military Intelligence;Ronald Reagan;46;PA;Political Specialist;Medium;M572025;x
572026;Chief of Staff;John J. Hartnett;42;PA;School of Psychology;Medium;M572026;x
572027;Chief of Army;Raymond C. Byrne;43;PA;Elastic Defence Doctrine;Medium;M572027;x
572028;Chief of Navy;M.H. Dorman;45;PA;Decisive Naval Battle Doctrine;Medium;M572028;x
572029;Chief of Air Force;Ronald E. Shoopman;41;PA;Air Superiority Doctrine;Medium;M572029;x
