U83;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
800300;Head of State;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800301;Head of Government;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800302;Foreign Minister;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800303;Minister of Armament;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800304;Minister of Security;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800305;Head of Military Intelligence;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800306;Chief of Staff;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800307;Chief of Army;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800308;Chief of Navy;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800309;Chief of Air Force;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800310;Head of State;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800311;Head of Government;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800312;Foreign Minister;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800313;Minister of Armament;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800314;Minister of Security;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800315;Head of Military Intelligence;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800316;Chief of Staff;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800317;Chief of Army;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800318;Chief of Navy;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800319;Chief of Air Force;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800320;Head of State;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800321;Head of Government;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800322;Foreign Minister;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800323;Minister of Armament;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800324;Minister of Security;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800325;Head of Military Intelligence;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800326;Chief of Staff;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800327;Chief of Army;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800328;Chief of Navy;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800329;Chief of Air Force;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
