U90;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
900000;Head of State;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900001;Head of Government;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900002;Foreign Minister;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900003;Minister of Armament;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900004;Minister of Security;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900005;Head of Military Intelligence;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900006;Chief of Staff;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900007;Chief of Army;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900008;Chief of Navy;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900009;Chief of Air Force;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900010;Head of State;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900011;Head of Government;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900012;Foreign Minister;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900013;Minister of Armament;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900014;Minister of Security;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900015;Head of Military Intelligence;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900016;Chief of Staff;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900017;Chief of Army;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900018;Chief of Navy;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900019;Chief of Air Force;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900020;Head of State;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900021;Head of Government;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900022;Foreign Minister;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900023;Minister of Armament;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900024;Minister of Security;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900025;Head of Military Intelligence;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900026;Chief of Staff;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900027;Chief of Army;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900028;Chief of Navy;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900029;Chief of Air Force;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
