U97;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
900700;Head of State;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900701;Head of Government;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900702;Foreign Minister;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900703;Minister of Armament;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900704;Minister of Security;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900705;Head of Military Intelligence;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900706;Chief of Staff;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900707;Chief of Army;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900708;Chief of Navy;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900709;Chief of Air Force;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900710;Head of State;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900711;Head of Government;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900712;Foreign Minister;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900713;Minister of Armament;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900714;Minister of Security;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900715;Head of Military Intelligence;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900716;Chief of Staff;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900717;Chief of Army;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900718;Chief of Navy;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900719;Chief of Air Force;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900720;Head of State;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900721;Head of Government;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900722;Foreign Minister;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900723;Minister of Armament;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900724;Minister of Security;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900725;Head of Military Intelligence;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900726;Chief of Staff;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900727;Chief of Army;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900728;Chief of Navy;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900729;Chief of Air Force;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
