SAU;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
63001;Head of State;Abdul Aziz al Saud;36;PA;Ruthless Powermonger;High;M63001;x
63002;Head of Government;Saud al Saud;36;PA;Backroom Backstabber;High;M63002;x
63003;Foreign Minister;Faisal al Saud;36;PA;Apologetic Clerk;High;M63003;x
63004;Minister of Armament;Faisal al Saud;36;PA;Resource Industrialist;High;M63003;x
63005;Minister of Security;Khalid al Saud;36;PA;Crooked Kleptocrat;High;M63005;x
63006;Head of Military Intelligence;Khalid al Saud;36;PA;Logistics Specialist;High;M63005;x
63007;Chief of Staff;Saud al Saud;36;PA;School of Manoeuvre;High;M63002;x
63008;Chief of Army;Faisal al Saud;36;PA;Guns and Butter Doctrine;High;M63003;x
63009;Chief of Navy;Faisal al Saud;36;PA;Open Seas Doctrine;High;M63003;x
63010;Chief of Air Force;Faisal Saud;36;PA;Army Aviation Doctrine;High;M63003;x
63031;Foreign Minister;Hubert Scott-Paine;39;SC;General Staffer;High;M63031;x
63032;Foreign Minister;Charles Lord Parmoor;41;SC;Apologetic Clerk;High;M63032;x
63033;Foreign Minister;Harry St.John Philby;44;PA;Ideological Crusader;High;M63033;x
63034;Foreign Minister;Saud al Saud;45;PA;Biased Intellectual;Very High;M63002;x
63035;Minister of Armament;G.G. Aime-Murray;37;SC;Administrative Genius;High;M63035;x
63036;Minister of Armament;Harry St.John Philby;38;PA;Infantry Proponent;High;M63033;x
63037;Minister of Armament;Arthur J. Salter;39;SC;Theoretical Scientist;High;M63037;x
63038;Minister of Armament;Malcolm de le Vingne;40;SC;Resource Industrialist;High;M63038;x
63039;Minister of Armament;Geoffrey George Knox;41;SC;Tank Proponent;High;M63039;x
63040;Minister of Armament;Salih al Rajihi;45;PA;laissez-faire capitalist;High;M63040;x
63041;Minister of Security;Hubert Scott-Paine;38;SC;Silent Lawyer;High;M63031;x
63042;Minister of Security;Harry St.John Philby;41;PA;Compassionate Gentleman;High;M63033;x
63043;Minister of Security;James Power Carne;42;SC;Efficient Sociopath;High;M63043;x
63044;Minister of Security;Alwyn Parker;43;SC;Man of the People;High;M63044;x
63045;Minister of Security;Suleiman al Olyan;45;PA;Back Stabber;High;M63045;x
63046;Head of Military Intelligence;Sir Eric Fullerton;37;SC;Naval Intelligence Specialist;High;M63046;x
63047;Head of Military Intelligence;Harry St.John Philby;39;PA;Dismal Enigma;High;M63033;x
63048;Head of Military Intelligence;Hubert Scott-Paine;41;SC;Political Specialist;High;M63031;x
63049;Head of Military Intelligence;Faisal al Saud;45;PA;Industrial Specialist;High;M63003;x
63050;Chief of Staff;Sir Eric Fullerton;36;SC;School of Psychology;High;M63046;x
63051;Chief of Staff;William Campbell-Rice;37;SC;School of Defence;High;M63051;x
63052;Chief of Staff;T.E. Shaw;38;SC;School of Fire Support;High;M63052;x
63053;Chief of Staff;T.R.S. Smythe-Cooper;40;SC;School of Mass Combat;High;M63053;x
63054;Chief of Staff;Faisal al Saud;45;PA;School of Manoeuvre;High;M63003;x
63055;Chief of Army;William Campbell-Rice;38;SC;Static Defence Doctrine;High;M63051;x
63056;Chief of Army;T.E. Shaw;39;SC;Elastic Defence Doctrine;High;M63052;x
63057;Chief of Army;T.R.S. Smythe-Cooper;41;SC;Decisive Battle Doctrine;High;M63053;x
63059;Chief of Navy;Sir Eric Fullerton;37;SC;Indirect Approach Doctrine;High;M63046;x
63060;Chief of Navy;Philip Gordon-Lee;41;SC;Open Seas Doctrine;High;M63060;x
63062;Chief of Air Force;Sir Eric Fullerton;38;SC;Naval Aviation Doctrine;High;M63046;x
63063;Chief of Air Force;T.E. Shaw;39;SC;Army Aviation Doctrine;High;M63052;x
63064;Chief of Air Force;Arthur Dawkins;41;SC;Air Superiority Doctrine;High;M63064;x
63065;Chief of Air Force;Bassam Abu Khadar;45;PA;Vertical Envelopment Doctrine;High;M63065;x
