U72;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
700200;Head of State;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700201;Head of Government;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700202;Foreign Minister;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700203;Minister of Armament;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700204;Minister of Security;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700205;Head of Military Intelligence;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700206;Chief of Staff;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700207;Chief of Army;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700208;Chief of Navy;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700209;Chief of Air Force;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700210;Head of State;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700211;Head of Government;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700212;Foreign Minister;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700213;Minister of Armament;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700214;Minister of Security;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700215;Head of Military Intelligence;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700216;Chief of Staff;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700217;Chief of Army;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700218;Chief of Navy;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700219;Chief of Air Force;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700220;Head of State;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700221;Head of Government;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700222;Foreign Minister;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700223;Minister of Armament;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700224;Minister of Security;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700225;Head of Military Intelligence;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700226;Chief of Staff;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700227;Chief of Army;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700228;Chief of Navy;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700229;Chief of Air Force;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
