COS;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
47001;Head of State;Romualdo Jímenez Oreamurio;36;SL;Ruthless Powermonger;High;M47001;x
47002;Head of Government;Leon Cortes Castro;36;SL;Political Protege;NA;M47002;x
47003;Foreign Minister;Raúl Gundían;36;SL;General Staffer;Medium;M47003;x
47004;Minister of Armament;Julio Acosta Garcia;36;SL;Military Entrepreneur;Medium;M47004;x
47005;Minister of Security;Victor Sanabria Martinéz;36;SL;Efficient Sociopath;Very High;M47005;x
47006;Head of Military Intelligence;Federico Tinoco;36;SL;Industrial Specialist;Medium;M47006;x
47007;Chief of Staff;Federico Tinoco;36;SL;School of Defence;Medium;M47006;x
47008;Chief of Army;Federico Tinoco;36;SL;Static Defence Doctrine;Medium;M47006;x
47009;Chief of Navy;Roberto Juarez Camposino;36;SL;Open Seas Doctrine;Medium;M47009;x
47010;Chief of Air Force;Don Arnaldo Zamora;36;SL;Army Aviation Doctrine;Medium;M47010;x
47031;Head of State;Otilio Ulate;44;SD;Benevolent Gentleman;High;M47031;x
47032;Head of State;Leon Cortes Castro;36;SL;Autocratic Charmer;High;M47002;x
47033;Head of State;Tobias Zúñiaga Montúfar;40;SL;Stern Imperialist;High;M47033;x
47034;Head of State;Alejandro de Castro Lopez;44;SL;Barking Buffoon;High;M47034;x
47035;Head of State;Otto Cortes Fernandez;36;SC;Insignificant Layman;High;M47035;x
47036;Head of State;Rafael Calderon Guardia;40;SC;Barking Buffoon;High;M47036;x
47037;Head of State;Teodoro Picado Michalski;44;SC;Resigned Generalissimo;High;M47037;x
47038;Head of State;Romualdo Pino Roja;36;FA;Resigned Generalissimo;High;M47011;x
47039;Head of State;Manuel Mora Valverde;40;LE;Insignificant Layman;High;M47021;x
47040;Head of State;Isalino de Silva Londres;47;LWR;Autocratic Charmer;High;M47040;x
47041;Head of Government;Jose Figueres Ferrer;44;SD;Political Protege;High;M47041;x
47042;Head of Government;Tobias Zúñiaga Montúfar;36;SL;Ambitious Union Boss;High;M47033;x
47043;Head of Government;Alejandro de Castro Lopez;44;SL;Happy Amateur;High;M47034;x
47044;Head of Government;Adolfo Urribe Castro;36;SC;Smiling Oilman;High;M47044;x
47045;Head of Government;Teodoro Picado Michalski;40;SC;Old General;High;M47037;x
47046;Head of Government;Rafael Calderon Guardia;44;SC;Flamboyant Tough Guy;High;M47046;x
47047;Head of Government;Otto Cortes Fernandez;44;SC;Silent Workhorse;High;M47035;x
47048;Head of Government;Romualdo Pino Roja;36;PA;Old General;High;M47011;x
47049;Head of Government;Manuel Mora Valverde;40;LE;Happy Amateur;High;M47021;x
47050;Head of Government;Isalino de Silva Londres;47;LWR;Political Protege;NA;M47040;x
47051;Foreign Minister;Otilio Ulate;44;SD;The Cloak N Dagger Schemer;Very High;M47031;x
47052;Foreign Minister;Luís Fernandéz Rodríguez;47;SD;Ideological Crusader;Medium;M47024;x
47053;Foreign Minister;Leon Cortes Castro;36;SL;The Cloak N Dagger Schemer;Medium;M47002;x
47054;Foreign Minister;Manuel F. Jímenez;38;SL;General Staffer;Medium;M47054;x
47055;Foreign Minister;Albert Echandi Montero;39;SL;Iron Fisted Brute;Medium;M47055;x
47056;Foreign Minister;Roberto Brenes Mesen;40;SL;Apologetic Clerk;Medium;M47056;x
47057;Foreign Minister;Tobias Zúñiaga Montúfar;42;SL;Biased Intellectual;High;M47033;x
47058;Foreign Minister;Chico Orlich Bolmarich;44;SL;Ideological Crusader;High;M47058;x
47059;Foreign Minister;Adolfo Urribe Castro;36;SC;Apologetic Clerk;Medium;M47044;x
47060;Foreign Minister;Rafael Calderon Guardia;40;SC;Biased Intellectual;Medium;M47036;x
47061;Foreign Minister;Julio Acosta Garcia;42;SC;Great Compromiser;Medium;M47004;x
47062;Foreign Minister;Teodoro Picado Michalski;43;SC;Ideological Crusader;High;M47037;x
47063;Foreign Minister;Manuel de Peralta;44;SC;Iron Fisted Brute;Medium;M47063;x
47064;Foreign Minister;Raúl Gundían;36;PA;General Staffer;Medium;M47003;x
47065;Foreign Minister;Manuel Mora Valverde;40;LE;The Cloak N Dagger Schemer;Medium;M47021;x
47066;Foreign Minister;Enrique Díaz Toledo;47;LWR;Apologetic Clerk;Medium;M47066;x
47067;Minister of Armament;Jose Figueres Ferrer;44;SD;Administrative Genius;Medium;M47041;x
