IND;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;Name;Pool;;Personality;;;x
59001;Head of State;Victor Lord Linlithgow;36;ML;Stern Imperialist;High;M59001;x
59002;Head of Government;John Edward Golightly;36;ML;Silent Workhorse;High;M59002;x
59003;Foreign Minister;Sir Jilendra Vayaphrasattar;36;ML;Iron Fisted Brute;High;M59003;x
59004;Minister of Armament;Anyang Bhula;36;ML;Air Superiority Proponent;Very High;M59004;x
59005;Minister of Security;George H. Douglas;36;ML;Man of the People;Medium;M59005;x
59006;Head of Military Intelligence;Archibald Angus;36;ML;Political Specialist;Very High;M59006;x
59007;Chief of Staff;Victor Lord Linlithgow;36;ML;School of Defence;Medium;M59007;x
59008;Chief of Army;Arthur A. Barrett;36;ML;Static Defence Doctrine;High;M59008;x
59009;Chief of Navy;William E. Parry;36;ML;Power Projection Doctrine;Very High;L1378;x
59010;Chief of Air Force;Bruce W. McPherson;36;ML;Vertical Envelopment Doctrine;High;M59010;x
59031;Head of State;Rajendra Prasad;50;SD;Weary Stiffneck;High;M59031;x
59032;Head of State;Bahadur Bathram of Maler Kotla;36;SL;Pig-headed Isolationist;High;M59032;x
59033;Head of State;Lord Louis Mountbatten;45;SL;Popular Figurehead;High;M59033;x
59034;Head of State;Archibald Wavell;42;ML;Resigned Generalissimo;High;M59034;x
59035;Head of State;Rashbehari Basu;36;PA;Insignificant Layman;High;M59016;x
59037;Head of Government;Mahatma Mohandas Gandhi;36;SD;Silent Workhorse;High;M59037;x
59038;Head of Government;Michael Morris;36;SL;Happy Amateur;High;M59038;x
59039;Head of Government;Dr. John Mathai;45;SL;Corporate Suit;High;M59039;x
59040;Head of Government;Nabob Kureishi of Bhawalapur;42;ML;Smiling Oilman;High;M59040;x
59041;Head of Government;Sir Mohammed Iqbal;36;PA;Backroom Backstabber;High;M59041;x
59043;Foreign Minister;Subhas Chandra Bose;36;SD;The Cloak N Dagger Schemer;High;M59011;x
59044;Foreign Minister;Ananthasayanam Ayyangar;37;SD;Great Compromiser;Low;M59044;x
59045;Foreign Minister;Sarat Chandra Bose;41;SD;Biased Intellectual;Very High;M59045;x
59046;Foreign Minister;Jawahar Lal Nehru;41;SD;Ideological Crusader;High;M59046;x
59047;Foreign Minister;Bhimrao Ramji Ambedkar;43;SD;Apologetic Clerk;Low;M59025;x
59048;Foreign Minister;Bahadur Jayla of Khoch Bahur;36;SL;Apologetic Clerk;High;M59048;x
59049;Foreign Minister;Mohammed Ayub Khan;43;SL;General Staffer;High;M59049;x
59050;Foreign Minister;Aly Khan IV;42;ML;Great Compromiser;High;M59050;x
59051;Foreign Minister;Agha Khan III;36;PA;Great Compromiser;Medium;M59051;x
59053;Foreign Minister;Ajoy Kumar Ghosh;43;PA;Biased Intellectual;Medium;M59023;x
59055;Foreign Minister;Khawaja Nazimuddin;47;PA;Apologetic Clerk;High;M59055;x
59056;Minister of Armament;Sardar Vallabhbhai Patel;36;SD;Military Entrepreneur;High;M59056;x
59057;Minister of Armament;Lal Bahadur Shastri;44;SD;Administrative Genius;High;M59024;x
59058;Minister of Armament;Michael Morris;36;SL;laissez-faire capitalist;Medium;M59038;x
59059;Minister of Armament;Dr. John Mathai;40;SL;Theoretical Scientist;Medium;M59039;x
59060;Minister of Armament;Hitendra Desai;45;SL;Resource Industrialist;Very High;M59060;x
59061;Minister of Armament;Bahadur Jayla of Khoch Bahur;36;ML;Battle Fleet Proponent;Medium;M59048;x
59062;Minister of Armament;Nawab Jaygoor of Pataudi;39;ML;Resource Industrialist;Medium;M59062;x
59063;Minister of Armament;Iskander Mirza;36;PA;Infantry Proponent;Medium;M59014;x
59064;Minister of Armament;Sir Chhotu Ram;38;PA;Air Superiority Proponent;High;M59026;x
59065;Minister of Armament;Jyoti Basu;39;PA;Administrative Genius;Very High;M59021;x
59067;Minister of Armament;Muhammed Ali Bogra;44;PA;Air to Sea Proponent;Medium;M59067;x
59068;Minister of Security;Rafi Ahmed Kidwai;36;SD;Crime Fighter;Medium;M59068;x
59069;Minister of Security;Bhimrao Ramji Ambedkar;41;SD;Man of the People;Very High;M59025;x
59070;Minister of Security;Harilal J. Kania;36;SL;Silent Lawyer;Low;M59070;x
59071;Minister of Security;Sir Henry Gidney;42;SL;Compassionate Gentleman;Very High;M59071;x
59072;Minister of Security;Nizam Osman of Hyderabad;36;ML;Prince of Terror;Very High;M59015;x
59073;Minister of Security;Muhammed Mujeeb;38;ML;Back Stabber;Very High;M59073;x
59075;Minister of Security;Ajoy Kumar Ghosh;42;PA;Efficient Sociopath;Very High;M59023;x
59077;Head of Military Intelligence;Shri Jagjivan Ram;36;SD;Political Specialist;Very High;M59077;x
59078;Head of Military Intelligence;Rafi Ahmed Kidwai;43;SD;Dismal Enigma;Medium;M59068;x
59080;Head of Military Intelligence;Sir Chhotu Ram;36;SL;Industrial Specialist;High;M59026;x
59081;Head of Military Intelligence;Jehangir Bhabha Homi;43;SL;Technical Specialist;Very High;M59079;x
59082;Head of Military Intelligence;Stephen Hope-Carlill;45;SL;Naval Intelligence Specialist;Medium;L1356;x
59083;Head of Military Intelligence;Sir Bwahadur Kandra;36;ML;Industrial Specialist;Medium;M59083;x
59084;Head of Military Intelligence;Lindsey Stephenson;38;ML;Dismal Enigma;Medium;M59084;x
59086;Head of Military Intelligence;Rashbehari Basu;39;PA;Logistics Specialist;Very High;M59016;x
59087;Head of Military Intelligence;Abdul Majeed Khwaja;45;PA;Dismal Enigma;Medium;M59087;x
59088;Chief of Staff;Subhas Chandra Bose;36;SD;School of Psychology;Medium;M59011;x
59089;Chief of Staff;Ananthasayanam Ayyangar;43;SD;School of Defence;High;M59044;x
59090;Chief of Staff;Charles T.M. Pizey;46;SD;School of Manoeuvre;High;M59090;x
59091;Chief of Staff;Mohan Singh;36;SL;School of Mass Combat;Very Low;M59028;x
59092;Chief of Staff;Sardar Baldev Singh;41;SL;School of Psychology;Medium;M59092;x
59093;Chief of Staff;Kodandera Cariappa;45;SL;School of Fire Support;High;M59093;x
59094;Chief of Staff;Rajendra Prasad;36;ML;School of Defence;Low;M59031;x
59095;Chief of Staff;Kodandera Thimayya;42;ML;School of Defence;Low;M59095;x
59097;Chief of Staff;Shah Nawaz Khan;43;PA;School of Manoeuvre;Very High;M59017;x
59099;Chief of Army;Ram Singh Thakur;36;SD;Guns and Butter Doctrine;Very High;M59099;x
59100;Chief of Army;Mohan Singh;41;SD;Decisive Battle Doctrine;Very Low;M59028;x
59101;Chief of Army;Kodandera Cariappa;36;SL;Elastic Defence Doctrine;Low;M59093;x
59102;Chief of Army;Sir Frank Messervy;45;SL;Armoured Spearhead Doctrine;Very Low;M59102;x
59103;Chief of Army;Archibald Wavell;42;ML;Elastic Defence Doctrine;High;M59034;x
59104;Chief of Army;Kureishi of Bhawalapur;36;PA;Static Defence Doctrine;Medium;M59040;x
59107;Chief of Navy;Bhaskar Soman;36;SD;Decisive Naval Battle Doctrine;Medium;M59107;x
59109;Chief of Navy;Ram Dass Katari;47;SL;Power Projection Doctrine;Medium;M59019;x
59110;Chief of Navy;W.H. Gould-Bradford;42;ML;Open Seas Doctrine;Medium;L1349;x
59112;Chief of Navy;Harinder Singh;46;PA;Indirect Approach Doctrine;Medium;M59112;x
59113;Chief of Air Force;Arjan Singh Vibhusan;36;SD;Air Superiority Doctrine;medium;M59113;x
59115;Chief of Air Force;Subroto Mukherjee;46;SD;Army Aviation Doctrine;medium;M59115;x
59116;Chief of Air Force;Mehar Singh;36;SL;Army Aviation Doctrine;medium;M59114;x
59117;Chief of Air Force;Aspy Merwan Engineer;43;SL;Naval Aviation Doctrine;medium;M59117;x
59119;Chief of Air Force;Ravindra Darshan Singh;36;PA;Carpet Bombing Doctrine;High;M59118;x
59121;Head of State;Rajendra Prasad;36;SL;Weary Stiffneck;High;M59031;x
59122;Foreign Minister;Yeswanthrao II of Indore;41;PA;Iron Fisted Brute;Medium;M59122;x
59123;Minister of Armament;H.H. Buland of Kishangarh;42;PA;Air to Ground Proponent;Very High;M59123;x
59124;Minister of Security;Ali Khan III of Banganapalle;36;PA;Prince of Terror;Very High;M59124;x
59125;Minister of Security;H.H. Waghji of Morvi;44;PA;Compassionate Gentleman;Very High;M59125;x
59126;Head of Military Intelligence;H.H. Tashi of Sikkim;36;PA;Political Specialist;Medium;M59126;x
59127;Head of State;Chakravarti Rajagopalachari;48;SD;Die-hard Reformer;High;M59127;x
59128;Head of Government;Jawahar Lal Nehru;45;SD;Political Protege;High;M59046;x
59129;Foreign Minister;Ganesh Mavalankar;52;SD;Great Compromiser;High;M59129;x
59130;Minister of Security;Sarvepalli Radhakrishnan;51;SD;Compassionate Gentleman;Very High;M59130;x
