MEN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
513001;Head of State;De Noyan;36;FA;Pig-headed Isolationist;High;M513001;x
513002;Head of Government;De Noyan;36;FA;Political Protege;High;M513001;x
513003;Foreign Minister;Megata Toshiro;36;FA;General Staffer;High;M58032;x
513004;Minister of Armament;Nakajima Kesago;36;FA;Air to Ground Proponent;Medium;M58051;x
513005;Minister of Security;Damsurijan;36;FA;Man of the People;Medium;M513005;x
513006;Head of Military Intelligence;Hung Zhehuang;36;FA;Logistics Specialist;Medium;M513006;x
513007;Chief of Staff;De Noyan;36;FA;School of Psychology;Medium;M513001;x
513008;Chief of Army;Yonimitsu Kasahara;36;FA;Guns and Butter Doctrine;Medium;L101079;x
513009;Chief of Navy;Heinrich Hanke;36;FA;Decisive Naval Battle Doctrine;Medium;M513009;x
513010;Chief of Air Force;Kyoiji Tomonaga;36;FA;Army Aviation Doctrine;Medium;L101336;x
