U79;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
700900;Head of State;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700901;Head of Government;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700902;Foreign Minister;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700903;Minister of Armament;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700904;Minister of Security;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700905;Head of Military Intelligence;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700906;Chief of Staff;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700907;Chief of Army;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700908;Chief of Navy;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700909;Chief of Air Force;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
700910;Head of State;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700911;Head of Government;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700912;Foreign Minister;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700913;Minister of Armament;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700914;Minister of Security;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700915;Head of Military Intelligence;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700916;Chief of Staff;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700917;Chief of Army;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700918;Chief of Navy;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700919;Chief of Air Force;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
700920;Head of State;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700921;Head of Government;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700922;Foreign Minister;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700923;Minister of Armament;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700924;Minister of Security;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700925;Head of Military Intelligence;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700926;Chief of Staff;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700927;Chief of Army;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700928;Chief of Navy;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
700929;Chief of Air Force;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
