U89;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
800900;Head of State;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800901;Head of Government;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800902;Foreign Minister;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800903;Minister of Armament;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800904;Minister of Security;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800905;Head of Military Intelligence;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800906;Chief of Staff;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800907;Chief of Army;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800908;Chief of Navy;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800909;Chief of Air Force;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800910;Head of State;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800911;Head of Government;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800912;Foreign Minister;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800913;Minister of Armament;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800914;Minister of Security;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800915;Head of Military Intelligence;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800916;Chief of Staff;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800917;Chief of Army;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800918;Chief of Navy;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800919;Chief of Air Force;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800920;Head of State;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800921;Head of Government;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800922;Foreign Minister;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800923;Minister of Armament;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800924;Minister of Security;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800925;Head of Military Intelligence;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800926;Chief of Staff;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800927;Chief of Army;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800928;Chief of Navy;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800929;Chief of Air Force;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
