PAK;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
564001;Head of State;Sir Henry Duffield Craik;36;ML;Stern Imperialist;High;M564001;x
564002;Head of Government;Sir John Anderson;36;ML;Political Protege;High;M564002;x
564003;Foreign Minister;Sir Bertrand Glancy;36;ML;Great Compromiser;High;M564003;x
564004;Minister of Armament;Albert E. Clutterbuck;36;ML;Corrupt Kleptocrat;Medium;M564004;x
564005;Minister of Security;Herbert William Emerson;36;ML;Prince of Terror;Medium;M564005;x
564006;Head of Military Intelligence;Frederick Gough-Calthorpe;36;ML;Industrial Specialist;Medium;M564006;x
564007;Chief of Staff;Wallace Duffield Wright;36;ML;School of Defence;Medium;M564007;x
564008;Chief of Army;B.G.E. Dyer;36;ML;Static Defence Doctrine;Medium;M564008;x
564009;Chief of Navy;John Talbot-Savignac-Hall;36;ML;Indirect Approach Doctrine;Medium;L1394;x
564010;Chief of Air Force;Gerald Hendrickson;36;ML;Naval Aviation Doctrine;Medium;M564010;x
564011;Head of State;Iskander Mirza;36;SD;Barking Buffoon;High;M59014;x
564012;Head of State;H.H. Muhammed Shuja ul-Mulk;36;PA;Resigned Generalissimo;High;M564012;x
564013;Head of Government;Mohammad Ali Jinnah;36;SD;Flamboyant Tough Guy;High;M59042;x
564014;Head of Government;Jamiat II Nawab of Manowar;36;PA;old airmarshal;High;M564014;x
564015;Foreign Minister;Liaquat Ali Khan;36;SD;The Cloak N Dagger Schemer;High;M59052;x
564016;Foreign Minister;Mohammed Ayub Khan;46;SD;General Staffer;High;M59049;x
564017;Foreign Minister;H.H. Nwanm Khan Jorawar;36;PA;Ideological Crusader;High;M564017;x
564018;Minister of Armament;Dr. Zakir Husain;36;SD;Theoretical Scientist;Medium;M59066;x
564019;Minister of Armament;Zahid Hussain;41;SD;Administrative Genius;Medium;M564019;x
564020;Minister of Armament;Francis Edgar Kearney;40;ML;Military Entrepreneur;Medium;M564020;x
564021;Minister of Armament;Mehtar Saif ur-Rahman;36;PA;Resource Industrialist;Medium;M564021;x
564022;Minister of Security;Liaquat Ali Khan;36;SD;Efficient Sociopath;Very High;M59052;x
564023;Minister of Security;Abdul Badshah Khan;44;SD;Man of the People;Very High;M59076;x
564024;Minister of Security;Evan Meredith Jenkins;43;ML;Compassionate Gentleman;Medium;M564024;x
564025;Minister of Security;H.H. Muzaffar ul-Mulk;36;PA;Back Stabber;Medium;M564025;x
564026;Head of Military Intelligence;Ifthqar Husain Memdoot;36;SD;Industrial Specialist;Medium;M59085;x
564027;Head of Military Intelligence;Wilfred Hart-Sugden;41;ML;Naval Intelligence Specialist;Medium;M564027;x
564028;Head of Military Intelligence;Lord Edward Gleichen;36;PA;Dismal Enigma;Medium;M564028;x
564029;Chief of Staff;Sir Skindher Hitay Khan;36;SD;School of Psychology;Very High;M59096;x
564030;Chief of Staff;Muhammad Yahya Khan;45;SD;School of Fire Support;Low;M59098;x
564031;Chief of Staff;H.H. Shriman VIII Maharaja of Kashmir;36;PA;School of Mass Combat;Low;M564031;x
564032;Chief of Army;Muhammad Ayub Khan;36;SD;Elastic Defence Doctrine;Medium;M59105;x
564033;Chief of Army;Muhammad Yahya Khan;45;SD;Armoured Spearhead Doctrine;Medium;M59098;x
564034;Chief of Army;Rukn Nawab ud-Duala;36;PA;Decisive Battle Doctrine;Medium;M564034;x
564035;Chief of Navy;Ali Rehman Khan;36;SD;Base Control Doctrine;Medium;L505113;x
564036;Chief of Navy;H.H. Diwan III Nawab Khanji;36;SD;Open Seas Doctrine;Medium;M564036;x
564037;Chief of Air Force;Asghar Khan;36;SD;Vertical Envelopment Doctrine;High;M59020;x
564038;Chief of Air Force;H.H. Ahmad ul-Mulk;36;PA;Carpet Bombing Doctrine;High;M564038;x
564039;Head of State;Mohammad Ali Jinnah;47;SD;Powerhungry Demagogue;High;M59042;x
564040;Head of State;Khwaja Nazimuddin;48;SD;Barking Buffoon;High;M564040;x
564041;Head of State;Gholam Muhammad;51;SD;Benevolent Gentleman;High;M564041;x
564042;Head of Government;Liaquat Ali Khan;47;SD;Backroom Backstabber;High;M59052;x
564043;Head of Government;Khwaja Nazimuddin;47;SD;Corporate Suit;High;M564040;x
564044;Head of Government;Mohammad Ali Bogra;53;SD;Ambitious Union Boss;High;M564044;x
564045;Foreign Minister;Chaudry Mohammad Ali;51;SD;Biased Intellectual;High;M564045;x
564046;Foreign Minister;Husain Suhrawandy;53;SD;Apologetic Clerk;High;M564046;x
564047;Minister of Armament;Abdul Wahab Khan;52;SD;Infantry Proponent;Medium;M564047;x
564048;Minister of Security;Moulvi Tamizaddin Khan;51;SD;Silent Lawyer;Very High;M564048;x
564049;Head of Military Intelligence;Abdul Wahab Khan;49;SD;Logistics Specialist;Medium;M564047;x
