MON;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
94001;Head of State;Agdanbuugiyn Amar;36;LE;Weary Stiffneck;High;M94001;x
94002;Head of Government;Dogijavyn Luvsanshara;36;LE;Happy Amateur;High;M94002;x
94003;Foreign Minister;Peljidiyn Genden;36;LE;Great Compromiser;Very High;M94003;x
94004;Minister of Armament;Jambyn Lhümbe;36;LE;Military Entrepreneur;Very High;M94004;x
94005;Minister of Security;Jamtsangryin Damdinsüren;36;LE;Efficient Sociopath;Very High;M94005;x
94006;Head of Military Intelligence;Horloogiyn Choybalsan;36;LE;Logistics Specialist;Very High;M94006;x
94007;Chief of Staff;Chimid;36;LE;School of Psychology;Very High;M94007;x
94008;Chief of Army;Chimid;36;LE;Elastic Defence Doctrine;Very High;M94007;x
94009;Chief of Navy;V.G. Pyrselov;36;LE;Open Seas Doctrine;Medium;M94009;x
94010;Chief of Air Force;Ulanhu;36;LE;Army Aviation Doctrine;Medium;M94010;x
94031;Head of State;Yundunwangcug;37;PA;Resigned Generalissimo;High;M94011;x
94032;Head of State;Pai Yun-ti;37;SD;Benevolent Gentleman;High;M94021;x
94033;Head of State;Dansrabilegyin Dogsam;37;LWR;Insignificant Layman;High;M94025;x
94034;Head of State;Gomgchigryn Bumtsend;40;ST;Powerhungry Demagogue;High;M94034;x
94035;Head of State;Buma Tsende;46;ST;Ruthless Powermonger;High;M94035;x
94036;Head of Government;Demcuydungrub;37;PA;Political Protege;High;M94012;x
94037;Head of Government;Pai Yun-ti;37;SD;Happy Amateur;High;M94021;x
94038;Head of Government;Dashiyin Damba;37;LWR;Smiling Oilman;High;M94038;x
94039;Head of Government;Horloogiyn Choybalsan;38;LWR;Old General;High;M94006;x
94040;Head of Government;Horloogiyn Choybalsan;40;ST;Old General;High;M94006;x
94041;Head of Government;Jumdjaagijn Tsedenbal;42;ST;Corporate Suit;High;M94041;x
94042;Foreign Minister;Demcuydungrub;37;PA;General Staffer;Very Low;M94012;x
94043;Foreign Minister;Tsengubal Badrach;37;SD;Apologetic Clerk;Medium;M94023;x
94044;Foreign Minister;Dogijavyn Luvsanshara;37;LE;Iron Fisted Brute;High;M94002;x
94045;Foreign Minister;Banzarjavyn Baasanjav;37;LWR;Biased Intellectual;High;M94045;x
94046;Foreign Minister;Dashiyin Damba;38;LWR;The Cloak N Dagger Schemer;High;M94038;x
94047;Foreign Minister;Marcel Rosenberg;40;ST;Biased Intellectual;Very High;M94047;x
94048;Foreign Minister;Jumdjaagijn Tsedenbal;41;ST;Iron Fisted Brute;Very High;M94041;x
94049;Foreign Minister;Horloogiyn Choybalsan;44;ST;General Staffer;Very High;M94049;x
94050;Minister of Armament;Tsevelsodnom;37;PA;Military Entrepreneur;Very High;M94014;x
94052;Minister of Armament;Tsengubal Badrach;37;LE;Air to Ground Proponent;Medium;M94023;x
94053;Minister of Armament;Tsevelsodnom;37;LWR;Military Entrepreneur;Very High;M94014;x
94054;Minister of Armament;Zalbengryin Sereeter;38;LWR;Theoretical Scientist;Medium;M94024;x
94055;Minister of Armament;Battur;40;ST;Air to Sea Proponent;Medium;M94055;x
94056;Minister of Armament;Horloogiyn Choybalsan;42;ST;Resource Industrialist;Very High;M94006;x
94057;Minister of Armament;Jamsrangyin Sambuu;44;ST;laissez-faire capitalist;High;M94057;x
94058;Minister of Armament;Gomgchigryn Bumtsend;46;ST;Military Entrepreneur;Very High;M94034;x
94059;Minister of Armament;Sükhbaataryn Yanjmaa;47;ST;Administrative Genius;Medium;M94020;x
94060;Minister of Security;Buyanmandu;37;PA;Prince of Terror;Low;M94015;x
94062;Minister of Security;Dagva;37;LE;Prince of Terror;Low;M94028;x
94063;Minister of Security;Dansrabilegyin Dogsam;37;LWR;Compassionate Gentleman;Medium;M94025;x
94064;Minister of Security;Buyannmeh;38;LWR;Silent Lawyer;Very Low;M94064;x
94065;Minister of Security;Dashdoorov;40;ST;Crooked Kleptocrat;High;M94065;x
94066;Minister of Security;Jamsrangyin Sambuu;42;ST;Back Stabber;High;M94057;x
94067;Minister of Security;Mikhailovna Kollontay;44;ST;Man of the People;Low;M94067;x
94068;Minister of Security;Nyambuu;46;ST;Crime Fighter;High;M94068;x
94069;Head of Military Intelligence;Ichinhorloo;37;PA;Logistics Specialist;Medium;M94016;x
94070;Head of Military Intelligence;Dogijavyn Luvsanshara;37;SD;Logistics Specialist;Low;M94002;x
94071;Head of Military Intelligence;Dorgijavyn Luvsansambuu;37;LE;Political Specialist;Medium;M94071;x
94072;Head of Military Intelligence;Ichinhorloo;37;LWR;Logistics Specialist;Medium;M94016;x
94073;Head of Military Intelligence;Dashnyam;38;LWR;Logistics Specialist;Medium;M94073;x
94074;Head of Military Intelligence;Nyambuu;40;ST;Industrial Specialist;High;M94068;x
94075;Head of Military Intelligence;Dashdorj;42;ST;Political Specialist;High;M94075;x
94076;Head of Military Intelligence;Dashzegve;44;ST;Logistics Specialist;High;M94076;x
94077;Head of Military Intelligence;Buyannmeh;46;ST;Naval Intelligence Specialist;Very High;M94064;x
94078;Chief of Staff;Lee Shou-hsin;37;PA;School of Mass Combat;Medium;M94017;x
94079;Chief of Staff;Pai Yun-ti;37;SD;School of Defence;Medium;M94021;x
94081;Chief of Staff;Horloogiyn Choybalsan;37;LWR;School of Manoeuvre;Very High;M94081;x
94082;Chief of Staff;Ölziytrygyn Badrak;38;LWR;School of Defence;Very High;M94082;x
94083;Chief of Staff;Buma Tsende;40;ST;School of Defence;Very High;M94035;x
94085;Chief of Army;Lee Shou-hsin;37;PA;Guns and Butter Doctrine;Medium;M94017;x
94086;Chief of Army;Dagva;37;SD;Guns and Butter Doctrine;Medium;M94028;x
94088;Chief of Army;Ölziytrygyn Badrak;37;LWR;Static Defence Doctrine;Very High;M94082;x
94089;Chief of Army;Horloogiyn Choybalsan;38;LWR;Guns and Butter Doctrine;Very High;M94049;x
94091;Chief of Navy;Yundunwangcug;37;PA;Open Seas Doctrine;Medium;M94011;x
94093;Chief of Navy;Haidav;37;LE;Power Projection Doctrine;Medium;M94093;x
94094;Chief of Navy;Ganbaatar;37;LWR;Base Control Doctrine;Medium;M94029;x
94095;Chief of Navy;Gomgchigryn Bumtsend;40;ST;Base Control Doctrine;Very High;M94034;x
94096;Chief of Navy;Dashdorj;42;ST;Indirect Approach Doctrine;High;M94075;x
94098;Chief of Air Force;Sükhbaataryn Yanjmaa;37;PA;Naval Aviation Doctrine;Medium;M94020;x
94100;Chief of Air Force;Haidav;37;LE;Naval Aviation Doctrine;Medium;M94093;x
94101;Chief of Air Force;Ganbaatar;37;LWR;Vertical Envelopment Doctrine;Medium;M94029;x
94102;Chief of Air Force;Sükhbaataryn Yanjmaa;40;ST;Naval Aviation Doctrine;Medium;M94020;x
94103;Chief of Air Force;Gomgchigryn Bumtsend;42;ST;Vertical Envelopment Doctrine;Very High;M94034;x
94104;Chief of Air Force;Buyannmeh;44;ST;Carpet Bombing Doctrine;Very High;M94064;x
