GAB;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
536001;Head of State;Louis Bonvin;36;SL;Powerhungry Demagogue;High;M536001;x
536002;Head of Government;Francois Reste;36;SL;Political Protege;High;M536002;x
536003;Foreign Minister;Victor Valentin Smith;36;SL;Great Compromiser;High;M536003;x
536004;Minister of Armament;Georges Pierre Masson;36;SL;Administrative Genius;Medium;M536004;x
536005;Minister of Security;Georges Parisot;36;SL;Silent Lawyer;Medium;M536005;x
536006;Head of Military Intelligence;Charles A.M. Assier de Perpigan;36;SL;Naval Intelligence Specialist;Medium;M536006;x
536007;Chief of Staff;André Parant;36;SL;School of Fire Support;Medium;L533014;x
536008;Chief of Army;Felix Eboue;36;SL;Decisive Battle Doctrine;Medium;M536008;x
536009;Chief of Navy;Francois Reste;36;SL;Base Control Doctrine;Medium;M536002;x
536010;Chief of Air Force;André Parant;36;SL;Army Aviation Doctrine;Medium;L533014;x
536011;Head of State;Georges Parisot;37;SL;Weary Stiffneck;High;M536005;x
536012;Head of State;Georges Pierre Masson;38;SL;Pig-headed Isolationist;High;M536004;x
536013;Head of State;André Parant;40;SL;Resigned Generalissimo;High;L533014;x
536014;Head of State;Victor Valentin Smith;41;SL;Benevolent Gentleman;High;M536003;x
536015;Head of State;Charles A.M. Assier de Perpigan;42;SL;Benevolent Gentleman;High;M536006;x
536016;Head of State;Paul Vuillaume;43;SL;Insignificant Layman;High;M536016;x
536017;Head of State;Roland Pré;44;SL;Barking Buffoon;High;M536017;x
536018;Head of State;Numa Sadoul;46;SL;Die-hard Reformer;High;M536018;x
536019;Head of State;Leon Gabriel M'ba;36;LWR;Autocratic Charmer;High;M536019;x
536020;Head of State;Jean Baptiste Robert;36;PA;Barking Buffoon;High;M536020;x
536021;Head of Government;Pierre Boisson;39;SL;Flamboyant Tough Guy;High;M536021;x
536022;Head of Government;Felix Eboue;40;SL;Old Admiral;High;M536008;x
536023;Head of Government;André Bayardelle;44;SL;Ambitious Union Boss;High;M536023;x
536024;Head of Government;Fulbert Youlou;36;LWR;Happy Amateur;High;M536024;x
536025;Head of Government;Jean Baptiste Robert;36;PA;Flamboyant Tough Guy;High;M536020;x
536026;Foreign Minister;Albert Kohan;40;SL;The Cloak N Dagger Schemer;High;M536026;x
536027;Foreign Minister;Maurice Perriot;43;SL;Apologetic Clerk;High;M536027;x
536028;Foreign Minister;Pascal Lissouba;36;LWR;Ideological Crusader;High;M536028;x
536029;Foreign Minister;Francois Reste;36;PA;General Staffer;High;M536002;x
536030;Minister of Armament;André Bayardelle;41;SL;Submarine Proponent;Medium;M536023;x
536031;Minister of Armament;Gaston Flaubert;43;SL;Air Superiority Proponent;Medium;M536031;x
536032;Minister of Armament;Alphonse Massemba-Debat;36;LWR;Corrupt Kleptocrat;Medium;M536032;x
536033;Minister of Armament;Albert Kohan;36;PA;laissez-faire capitalist;Medium;M536026;x
536034;Minister of Security;Pierre Boisson;38;SL;Prince of Terror;Medium;M536021;x
536035;Minister of Security;Numa Sadoul;44;SL;Man of the People;Medium;M536018;x
536036;Minister of Security;Nkola Mbomo;36;LWR;Efficient Sociopath;Medium;M536036;x
536037;Minister of Security;Gaston Flaubert;36;PA;Back Stabber;Medium;M536031;x
536038;Head of Military Intelligence;Paul Vuillaume;41;SL;Political Specialist;Medium;M536016;x
536039;Head of Military Intelligence;Maurice Kaouza;44;SL;Industrial Specialist;Medium;M536039;x
536040;Head of Military Intelligence;David Mousseda;36;LWR;Logistics Specialist;Medium;M536040;x
536041;Head of Military Intelligence;Pierre Boisson;36;PA;Dismal Enigma;Medium;M536021;x
536042;Chief of Staff;Raymond Delange;41;SL;School of Psychology;Medium;M536042;x
536043;Chief of Staff;Charles Mahango;36;LWR;School of Manoeuvre;Medium;M536043;x
536044;Chief of Staff;Francois Reste;36;PA;School of Psychology;Medium;M536002;x
536045;Chief of Army;Raphaël Folliot;44;SL;Guns and Butter Doctrine;Medium;M536045;x
536046;Chief of Army;Fulbert Youlou;36;LWR;Static Defence Doctrine;Medium;M536046;x
536047;Chief of Army;Jean l'Huillier;36;PA;Armoured Spearhead Doctrine;Medium;M536047;x
536048;Chief of Navy;Charles A.M. Assier de Perpigan;44;SL;Power Projection Doctrine;Medium;M536006;x
536049;Chief of Navy;Felix Eboue;36;LWR;Open Seas Doctrine;Medium;M536008;x
536050;Chief of Navy;Maurice Kaouza;36;PA;Decisive Naval Battle Doctrine;Medium;M536039;x
536051;Chief of Air Force;Roland Pré;41;SL;Air Superiority Doctrine;Medium;M536017;x
536052;Chief of Air Force;Felix Eboue;36;LWR;Vertical Envelopment Doctrine;Medium;M536008;x
536053;Chief of Air Force;Jacques Andrieux;36;PA;Naval Aviation Doctrine;Medium;M536053;x
