LAT;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
27001;Head of State;Alberts Kviesis;36;FA;Powerhungry Demagogue;High;M27001;x
27002;Head of Government;Kàrlis Ulmanis;36;FA;Happy Amateur;High;M27002;x
27003;Foreign Minister;Kàrlis Ulmanis;36;FA;Biased Intellectual;Undying;M27002;x
27004;Minister of Armament;Ludvigs Ctis;36;PA;Infantry Proponent;Medium;M27004;x
27005;Minister of Security;Vilis Gulbis;36;FA;Crime Fighter;Medium;M27005;x
27006;Head of Military Intelligence;Hermanis Apsitis;36;FA;Political Specialist;Medium;M27006;x
27007;Chief of Staff;Jànis Balodis;36;FA;School of Defence;Medium;M27007;x
27008;Chief of Army;Rudolfs Bangerskis;36;FA;Static Defence Doctrine;Low;M27008;x
27009;Chief of Navy;Tomas Spade;36;FA;Decisive Naval Battle Doctrine;Medium;M27009;x
27010;Chief of Air Force;Janis Indans;36;FA;Army Aviation Doctrine;Medium;M27010;x
27031;Head of State;Hans Heinrich Lohse;41;NS;Stern Imperialist;High;M27031;x
27032;Head of State;Kàrlis Ulmanis;36;FA;Barking Buffoon;High;M27002;x
27033;Head of State;Janis Andersons;45;PA;Benevolent Gentleman;High;M27033;x
27034;Head of State;Pauls Kalniñs;36;SC;Insignificant Layman;High;M27011;x
27035;Head of State;Jazeps Rancans;45;SC;Autocratic Charmer;High;M27035;x
27036;Head of State;Augusts Kirchensteins;36;LE;Weary Stiffneck;High;M27021;x
27037;Head of State;Ernests Kreismanis;45;ST;Ruthless Powermonger;High;M27037;x
27038;Head of Government;Alfreds Valdmanis;41;NS;Smiling Oilman;High;M27038;x
27039;Head of Government;Oskars Dankers;41;NS;Happy Amateur;High;M27039;x
27041;Head of Government;Jànis Kaminskis;40;FA;Naive Optimist;High;M27041;x
27042;Head of Government;Rudolfs Bangerskis;45;PA;Flamboyant Tough Guy;High;M27008;x
27043;Head of Government;Pauls Kalniñs;36;SC;Silent Workhorse;High;M27011;x
27044;Head of Government;Reinhold K. Zariñs;40;SC;Political Protege;High;M27012;x
27045;Head of Government;Augusts Kirchensteins;36;LE;Silent Workhorse;High;M27021;x
27046;Head of Government;Roberts Osis;45;ST;Old General;High;M27046;x
27047;Head of Government;Vilis Làcis;46;ST;Backroom Backstabber;High;M27025;x
