U81;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
800100;Head of State;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800101;Head of Government;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800102;Foreign Minister;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800103;Minister of Armament;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800104;Minister of Security;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800105;Head of Military Intelligence;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800106;Chief of Staff;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800107;Chief of Army;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800108;Chief of Navy;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800109;Chief of Air Force;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800110;Head of State;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800111;Head of Government;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800112;Foreign Minister;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800113;Minister of Armament;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800114;Minister of Security;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800115;Head of Military Intelligence;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800116;Chief of Staff;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800117;Chief of Army;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800118;Chief of Navy;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800119;Chief of Air Force;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800120;Head of State;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800121;Head of Government;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800122;Foreign Minister;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800123;Minister of Armament;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800124;Minister of Security;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800125;Head of Military Intelligence;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800126;Chief of Staff;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800127;Chief of Army;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800128;Chief of Navy;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800129;Chief of Air Force;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
