DOM;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
49001;Head of State;Rafél Trujillo;36;PA;Barking Buffoon;High;M49001;x
49002;Head of Government;Jacinto Bienvenido Peynado;36;PA;Naive Optimist;High;M49002;x
49003;Foreign Minister;Elias Brache;36;PA;Great Compromiser;Medium;M49003;x
49004;Minister of Armament;Manuel de Jesús Troncoso;36;PA;Infantry Proponent;Medium;M49004;x
49005;Minister of Security;Rafél Trujillo;36;PA;Prince of Terror;Low;M49001;x
49006;Head of Military Intelligence;Jesus da Costa Ruiz;36;PA;Technical Specialist;Medium;M49006;x
49007;Chief of Staff;Rafél Trujillo;36;PA;School of Defence;Low;M49001;x
49008;Chief of Army;Rafél Trujillo;36;PA;Static Defence Doctrine;Low;M49008;x
49009;Chief of Navy;Humberto Rojas;36;PA;Indirect Approach Doctrine;Medium;M49009;x
49010;Chief of Air Force;Anibal Vallejo Sosa;36;PA;Air Superiority Doctrine;Low;M49010;x
49031;Head of State;Jacinto Bienvenido Peynado;38;PA;Insignificant Layman;High;M49002;x
49032;Head of State;Manuel de Jesús Troncoso;40;PA;Benevolent Gentleman;High;M49004;x
49034;Head of State;Elias Brache;38;SC;Weary Stiffneck;High;M49003;x
49035;Head of State;Rafael Espaillat;46;SC;Popular Figurehead;High;M49035;x
49036;Head of State;Frank Feliz Miranda;38;LWR;Popular Figurehead;High;M49030;x
49037;Head of State;Francisco Prats Ramirez;42;LWR;Autocratic Charmer;High;M49037;x
49038;Head of Government;Manuel de Jesús Troncoso;38;PA;Silent Workhorse;High;M49004;x
49039;Head of Government;Rafél Trujillo;40;PA;Backroom Backstabber;High;M49001;x
49040;Head of Government;Alberto Garcia Vienda;38;SC;Happy Amateur;High;M49015;x
49041;Head of Government;Rafael Espaillat;42;SC;Political Protege;High;M49035;x
49042;Head of Government;Rafael Bonelly Fondeur;46;SC;Smiling Oilman;High;M49042;x
49043;Head of Government;Francisco Prats Ramirez;38;LWR;Happy Amateur;High;M49037;x
49044;Head of Government;Mario Imbert McGregor;42;SD;Corporate Suit;High;M49026;x
49045;Head of Government;Juan Bosch;46;SD;Old General;High;M49021;x
49046;Foreign Minister;Ernesto Bonetti-Burgos;36;PA;Apologetic Clerk;Medium;M49046;x
49047;Foreign Minister;Julio Ortega Frier;37;PA;The Cloak N Dagger Schemer;Medium;M49047;x
49048;Foreign Minister;Arturo Despradel;38;PA;Great Compromiser;Very High;M49048;x
49049;Foreign Minister;Manuel Peña Battle;43;PA;General Staffer;Very High;M49049;x
49051;Foreign Minister;Jesus de Galindez;42;SC;Ideological Crusader;Medium;M49013;x
49052;Foreign Minister;Emilio de los Santos;46;SC;Iron Fisted Brute;Medium;M49052;x
49053;Foreign Minister;Antonio Leyba Pou;38;LWR;Ideological Crusader;Medium;M49025;x
49054;Foreign Minister;Juan Bosch;46;SD;Iron Fisted Brute;Low;M49021;x
