FLA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
510001;Head of State;Staf de Clercq;36;NS;Powerhungry Demagogue;NA;M15033;x
510002;Head of Government;Staf de Clercq;36;NS;Flamboyant Tough Guy;NA;M15033;x
510003;Foreign Minister;Staf de Clercq;36;NS;Biased Intellectual;Very High;M15033;x
510004;Minister of Armament;Hendrik de Man;36;PA;Administrative Genius;Very High;M15056;x
510005;Minister of Security;Jan Timmermans;36;NS;Man of the People;Very High;M15117;x
510006;Head of Military Intelligence;Reimond Tollenaere;36;NS;Dismal Enigma;Very High;M15082;x
510007;Chief of Staff;Jef Francois;36;NS;School of Mass Combat;Very High;M15015;x
510008;Chief of Army;Jef Francois;36;NS;Decisive Battle Doctrine;Very High;M15015;x
510009;Chief of Navy;Ernst Junkermann;36;NS;Open Seas Doctrine;Very High;M510009;x
510010;Chief of Air Force;Ottfried Sattler;36;NS;Air Superiority Doctrine;Very High;M510010;x
510011;Chief of Air Force;Egert Reeder;40;NS;Vertical Envelopment Doctrine;Very High;M510061;x
510012;Chief of Air Force;Konrad Schellong;42;NS;Army Aviation Doctrine;Very High;L510007;x
510013;Chief of Army;Egert Reeder;40;NS;Elastic Defence Doctrine;Very High;M510061;x
510014;Chief of Army;G.H. von Craushaar;40;NS;Guns and Butter Doctrine;Very High;M510084;x
510015;Chief of Army;Gottlob Berger;40;NS;Guns and Butter Doctrine;Very High;M510027;x
510016;Chief of Army;Hans-Albert von Lettow-Vorbeck;40;NS;Decisive Battle Doctrine;Very High;M510088;x
510017;Chief of Army;Konrad Schellong;42;NS;Armoured Spearhead Doctrine;Very High;L510007;x
510018;Chief of Army;Lucien Rijckeboer;41;NS;Static Defence Doctrine;Very High;M510065;x
510019;Chief of Army;Raf Van Hulse;42;NS;Guns and Butter Doctrine;Very High;M510078;x
510021;Chief of Army;Réné Lagrou;36;NS;Decisive Battle Doctrine;Very High;M15017;x
510022;Chief of Navy;Egert Reeder;40;NS;Base Control Doctrine;Very High;M510061;x
510024;Chief of Staff;Egert Reeder;40;NS;School of Manoeuvre;Very High;M510061;x
510025;Chief of Staff;G.H. von Craushaar;40;NS;School of Fire Support;Very High;M510084;x
510026;Chief of Staff;Gottlob Berger;40;NS;School of Psychology;Very High;M510027;x
510027;Chief of Staff;Lucien Rijckeboer;41;NS;School of Defence;Very High;M510065;x
510028;Chief of Staff;Raf Van Hulse;42;NS;School of Manoeuvre;Very High;M510078;x
510029;Chief of Staff;Robert Verbelen;40;NS;School of Psychology;Very High;M510081;x
510030;Chief of Staff;Seraf Trio;40;NS;School of Fire Support;Very High;M510073;x
510031;Foreign Minister;Dr. August Borms;36;FA;Biased Intellectual;Very High;M510025;x
510032;Foreign Minister;Cyriel Verschaeve;36;FA;Great Compromiser;Very High;M510083;x
510033;Foreign Minister;E. Van den Heuvel;41;NS;Ideological Crusader;Very High;M510077;x
510034;Foreign Minister;Frans Daels;38;FA;Ideological Crusader;Very High;M510035;x
510035;Foreign Minister;Gottlob Berger;40;NS;General Staffer;Very High;M510027;x
510036;Foreign Minister;Hendrik J. Elias;42;FA;Biased Intellectual;Very High;M15039;x
510037;Foreign Minister;Jef van de Wiele;38;NS;Iron Fisted Brute;Very High;M15011;x
510038;Foreign Minister;Jeroom Leuridan;37;NS;Ideological Crusader;Very High;M510058;x
510039;Foreign Minister;Karel Lambrechts;39;NS;Great Compromiser;Very High;M510049;x
510040;Foreign Minister;Odiel Daem;40;NS;The Cloak N Dagger Schemer;Very High;M510037;x
510041;Foreign Minister;Pol Le Roy;42;FA;Biased Intellectual;Very High;M510054;x
510042;Foreign Minister;Reimond Speleers;38;FA;Biased Intellectual;Very High;M510072;x
510043;Foreign Minister;Walter Lampaert;41;NS;General Staffer;Very High;M510052;x
510044;Head of Government;Alexander von Falkenhausen;40;NS;Silent Workhorse;Very High;M510086;x
510045;Head of Government;Dr. August Borms;36;FA;Silent Workhorse;Very High;M510025;x
510046;Head of Government;Dr. Schulze;40;NS;Flamboyant Tough Guy;Very High;M510070;x
510047;Head of Government;Frans Daels;38;FA;Flamboyant Tough Guy;Very High;M510035;x
510048;Head of Government;Gottlob Berger;40;NS;Old General;Very High;M510027;x
510049;Head of Government;Hendrik J. Elias;42;FA;Political Protege;NA;M15039;x
510050;Head of Government;Jef van de Wiele;40;NS;Backroom Backstabber;NA;M15011;x
510051;Head of Government;Jeroom Leuridan;37;NS;Ambitious Union Boss;Very High;M510058;x
510052;Head of Government;Lucien Rijckeboer;41;NS;Happy Amateur;Very High;M510065;x
510053;Head of Government;Piet Wijndaele;37;FA;Naive Optimist;Very High;M510091;x
510054;Head of Government;R. Claeys;41;NS;Political Protege;Very High;M510033;x
510055;Head of Military Intelligence;A. De Bontridder;36;FA;Political Specialist;Very High;M510039;x
510056;Head of Military Intelligence;Edgar Lehembre;40;NS;Technical Specialist;Very High;M510056;x
510057;Head of Military Intelligence;Jos Henskens;39;NS;Logistics Specialist;Very High;M510044;x
510058;Head of Military Intelligence;Karel Lambrechts;39;NS;Industrial Specialist;Very High;M510049;x
510059;Head of Military Intelligence;R. Claeys;41;NS;Political Specialist;Very High;M510033;x
510060;Head of Military Intelligence;Richard Jungclaus;41;NS;Dismal Enigma;Very High;M510047;x
510061;Head of Military Intelligence;Robert Verbelen;40;NS;Technical Specialist;Very High;M510081;x
510062;Head of Military Intelligence;Seraf Trio;40;NS;Logistics Specialist;Very High;M510073;x
510063;Head of State;Alexander von Falkenhausen;40;NS;Resigned Generalissimo;Very High;M510086;x
510064;Head of State;Dr. Schulze;40;NS;Barking Buffoon;Very High;M510070;x
510065;Head of State;Gottlob Berger;40;NS;Powerhungry Demagogue;Very High;M510027;x
510066;Head of State;Hendrik J. Elias;42;FA;Stern Imperialist;NA;M15039;x
510067;Head of State;Jef van de Wiele;40;NS;Powerhungry Demagogue;NA;M15011;x
510068;Minister of Armament;Alfons Wachtelaer;42;NS;Infantry Proponent;Very High;M510089;x
510069;Minister of Armament;Edgard Delvo;36;NS;Resource Industrialist;Very High;M510042;x
510070;Minister of Armament;Fritz-Jan Hendriks;39;FA;Administrative Genius;Very High;M510043;x
510071;Minister of Armament;Jan Timmermans;37;NS;Resource Industrialist;Very High;M15117;x
510072;Minister of Armament;Jef van de Wiele;40;NS;Military Entrepreneur;Very High;M15011;x
510073;Minister of Armament;Joris Fassotte;36;NS;Military Entrepreneur;Very High;M15057;x
510074;Minister of Armament;Jos Henskens;39;NS;Infantry Proponent;Very High;M510044;x
510075;Minister of Armament;Marcel Mannaerts;40;FA;Resource Industrialist;Very High;M510060;x
510076;Minister of Armament;Piet Wijndaele;37;FA;laissez-faire capitalist;Very High;M510091;x
510077;Minister of Armament;Victor Leemans;38;FA;laissez-faire capitalist;Very High;M510055;x
510078;Minister of Armament;Victor Matthys;36;NS;Military Entrepreneur;Very High;M15058;x
510079;Minister of Security;A. De Bontridder;36;FA;Silent Lawyer;Very High;M510039;x
510080;Minister of Security;Alfons Herten;40;NS;Efficient Sociopath;Very High;M510046;x
510081;Minister of Security;Alfons Wachtelaer;42;NS;Efficient Sociopath;Very High;M510089;x
510082;Minister of Security;Edgar Lehembre;40;NS;Prince of Terror;Very High;M510056;x
510083;Minister of Security;Gottlob Berger;40;NS;Prince of Terror;Very High;M510027;x
510084;Minister of Security;Hendrik J. Elias;42;FA;Silent Lawyer;Very High;M15039;x
510085;Minister of Security;J. De Meyer;36;NS;Man of the People;Very High;M510041;x
510086;Minister of Security;Joris Vansteenland;40;NS;Prince of Terror;Very High;M510080;x
510087;Minister of Security;Karel Lambrechts;39;NS;Compassionate Gentleman;Very High;M510049;x
510088;Minister of Security;Odiel Daem;40;NS;Crime Fighter;Very High;M510037;x
