SIE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
554001;Head of State;Sir Henry Monck-Mason Moore;36;SC;Ruthless Powermonger;High;M550004;x
554002;Head of Government;Sir Douglas Jardine;36;SC;Backroom Backstabber;High;M554002;x
554003;Foreign Minister;Sir Hubert Craddock Stevenson;36;SC;Great Compromiser;High;M554003;x
554004;Minister of Armament;James Albert Hall;36;SC;Air Superiority Proponent;Medium;M554004;x
554005;Minister of Security;John Herbert Duncan;36;SC;Man of the People;Medium;M554005;x
554006;Head of Military Intelligence;Kenneth McMurphy-Mills;36;SC;Technical Specialist;Medium;M554006;x
554007;Chief of Staff;John P. Mooreshead;36;SC;School of Manoeuvre;Medium;M554007;x
554008;Chief of Army;Robert Richardson;36;SC;Armoured Spearhead Doctrine;Medium;M554008;x
554009;Chief of Navy;Frank Gomersall;36;SC;Open Seas Doctrine;Medium;M554009;x
554010;Chief of Air Force;Frederick Stevenson;36;SC;Naval Aviation Doctrine;Medium;M554010;x
554011;Head of State;Sir Milton Margai;36;SD;Weary Stiffneck;High;M554011;x
554012;Head of Government;Sir Albert Margai;36;SD;Political Protege;High;M554012;x
554013;Foreign Minister;Eustace Taylor Cummings;36;SD;Ideological Crusader;High;M554013;x
554014;Minister of Armament;Sir Banja Tejan-sie;41;SC;Resource Industrialist;Medium;M554014;x
554015;Minister of Armament;Lamina Sankoh;36;SD;Military Entrepreneur;Medium;M554015;x
554016;Minister of Security;John Karefa Smart;36;SD;Crime Fighter;Medium;M554016;x
554017;Head of Military Intelligence;Kande Bureh;36;SD;Logistics Specialist;Medium;M554017;x
554018;Head of Military Intelligence;Mohammed Sanusi Mustapha;41;SD;Industrial Specialist;Medium;M554018;x
554019;Chief of Staff;Rafiji Manareh;36;SD;School of Fire Support;Medium;M554019;x
554020;Chief of Army;Sanak Stephens;36;SD;Guns and Butter Doctrine;Medium;M554020;x
554021;Chief of Navy;Amadu Wurie;36;SD;Base Control Doctrine;Medium;M554021;x
554022;Chief of Air Force;Ella Koblo Gulama;36;SD;Army Aviation Doctrine;Medium;M554022;x
