PHI;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
50001;Head of State;Manuel Quezon;36;SL;Die-hard Reformer;High;M50001;x
50002;Head of Government;Sergio Osmeña;36;SL;Silent Workhorse;High;M50002;x
50003;Foreign Minister;Quintin Paredes;36;SL;Apologetic Clerk;Low;M50003;x
50004;Minister of Armament;Elpidio Quirino;36;SL;laissez-faire capitalist;Medium;M50004;x
50005;Minister of Security;Jose Yulo;36;SL;Compassionate Gentleman;Medium;M50005;x
50006;Head of Military Intelligence;Benito N. Ebuen;36;SL;Logistics Specialist;High;M50006;x
50007;Chief of Staff;Paulino Santos;36;SL;School of Psychology;Medium;M50007;x
50008;Chief of Army;Leoncio S. Tan;36;SL;Guns and Butter Doctrine;Very High;M50008;x
50009;Chief of Navy;Santiago Nuval;36;SL;Open Seas Doctrine;Medium;M50009;x
50010;Chief of Air Force;Pelagio Cruz;36;SL;Army Aviation Doctrine;Medium;M50010;x
50031;Head of State;Elpidio Quirino;36;SC;Pig-headed Isolationist;High;M50004;x
50032;Head of State;Emilio Aguinaldo;36;SD;Popular Figurehead;High;M50032;x
50033;Head of State;Juan Sumulong;41;SD;Barking Buffoon;High;M50033;x
50034;Head of State;Sergio Osmeña;44;SL;Stern Imperialist;High;M50002;x
50035;Head of State;Manuel Roxas;45;SL;Resigned Generalissimo;High;M50035;x
50036;Head of Government;Elpidio Quirino;36;SC;Silent Workhorse;High;M50004;x
50037;Head of Government;Rafel Liwanag;36;SD;Political Protege;High;M50037;x
50038;Head of Government;Juan Sumulong;41;SD;Happy Amateur;High;M50033;x
50039;Foreign Minister;Manuel Quezon;37;SL;the cloak n dagger schemer;High;M50001;x
50040;Foreign Minister;Joaquin Elizalde;38;SL;Great Compromiser;High;M50040;x
50041;Foreign Minister;Sergio Osmeña;39;SL;Iron Fisted Brute;Low;M50002;x
50042;Foreign Minister;Manuel Quadrino;40;SL;Biased Intellectual;Very Low;M50042;x
50043;Foreign Minister;Juan Sumulong;41;SD;Biased Intellectual;Medium;M50033;x
50044;Foreign Minister;Elpidio Quirino;36;SC;Ideological Crusader;Medium;M50004;x
50045;Foreign Minister;Ferdinand Marcos;45;SC;Iron Fisted Brute;Medium;M50013;x
50046;Foreign Minister;Emilio Aguinaldo;36;SD;Ideological Crusader;Medium;M50032;x
50047;Minister of Armament;Antonio de las Alas;36;SL;laissez-faire capitalist;Low;M50014;x
50048;Minister of Armament;Rafel Liwanag;36;SD;Submarine Proponent;Medium;M50037;x
50049;Minister of Armament;Manuel Roxas;38;SC;Air to Sea Proponent;Medium;M50035;x
50050;Minister of Armament;Manuel Quadrino;41;SL;Corrupt Kleptocrat;Very Low;M50042;x
50051;Minister of Armament;Serafin Fausto;41;SC;Administrative Genius;Medium;M50051;x
50052;Minister of Armament;Carlos P. Garcia;41;SD;Battle Fleet Proponent;Medium;M50052;x
50053;Minister of Armament;José G. David;42;SC;Resource Industrialist;Medium;M50053;x
50054;Minister of Armament;Ramon Magsaysay;45;SC;Tank Proponent;Medium;M50054;x
50055;Minister of Armament;Diosdado P. Macapagal;45;SD;Military Entrepreneur;Medium;M50055;x
50056;Minister of Security;Pardo de Tavera;36;SD;Prince of Terror;Medium;M50056;x
50057;Minister of Security;Leoncio S. Tan;38;SL;Back Stabber;High;M50008;x
50058;Minister of Security;Roman Apolinario;39;SL;Man of the People;Medium;M50058;x
50059;Minister of Security;Tiranó Craveza;40;SC;Efficient Sociopath;Low;M50059;x
50060;Minister of Security;Teofilo Sison;41;SC;Compassionate Gentleman;Medium;M50060;x
50061;Minister of Security;Jose P. Laurel;41;SC;Silent Lawyer;Medium;M50061;x
50062;Minister of Security;José M.Crisol;42;SD;Crooked Kleptocrat;Low;M50062;x
50064;Minister of Security;Alberto Ramos;44;SL;Silent Lawyer;Medium;M50064;x
50065;Minister of Security;Serafin Fausto;45;SC;Silent Lawyer;Medium;M50051;x
50066;Minister of Security;José G. Lukban;45;SC;Efficient Sociopath;Medium;M50066;x
50067;Minister of Security;Ramon Quisumbing;45;SL;Man of the People;Medium;M50067;x
50068;Chief of Staff;Basilio J. Valdez;39;SC;School of Defence;Low;M50017;x
50069;Chief of Staff;Augusto Jurado;44;SL;School of Mass Combat;Medium;M50069;x
50070;Chief of Staff;Quirinto P. Evangelista;45;SL;School of Manoeuvre;High;M50070;x
50072;Chief of Army;Benito N. Ebuen;37;SL;Decisive Battle Doctrine;High;M50006;x
50073;Chief of Army;Vicente P. Lim;39;SL;Elastic Defence Doctrine;Medium;M50073;x
50074;Chief of Army;Heraclio Alano;44;SL;Armoured Spearhead Doctrine;High;M50074;x
50075;Chief of Army;Mateo M. Capinpin;45;SL;Guns and Butter Doctrine;Medium;M50075;x
50076;Chief of Army;Rafael Jalandoni;46;SL;Guns and Butter Doctrine;Medium;M50076;x
50077;Head of Military Intelligence;James Wilson;36;SL;Naval Intelligence Specialist;High;M50077;x
50078;Head of Military Intelligence;Leslie Ailen Wheeler;38;SL;Technical Specialist;High;M50078;x
50079;Head of Military Intelligence;Fidel Segundo;39;SL;Logistics Specialist;High;M50079;x
50080;Head of Military Intelligence;Benigno Ramos;42;SL;Political Specialist;Very Low;M50016;x
50081;Head of Military Intelligence;John Gilbert Winant;43;SL;Industrial Specialist;Medium;M50081;x
50082;Chief of Navy;Eustacio Orobia;38;SC;Indirect Approach Doctrine;Very Low;M50019;x
50083;Chief of Navy;Jose V. Andrada;38;SL;Open Seas Doctrine;Low;M50083;x
50084;Chief of Navy;Ramon A. Alcaraz;42;SL;Decisive Naval Battle Doctrine;Medium;M50084;x
50085;Chief of Air Force;Basilio Fernando;40;SL;Army Aviation Doctrine;High;M50085;x
50086;Chief of Air Force;Edwin Andrews;44;SL;Vertical Envelopment Doctrine;Medium;M50086;x
50087;Chief of Air Force;Victor H. Dizon;46;SC;Naval Aviation Doctrine;High;M50087;x
50088;Head of Government;Manuel Roxas;45;SL;Old General;High;M50035;x
50011;Head of State;José P. Laurel;36;PA;Powerhungry Demagogue;High;M50011;x
50012;Head of Government;José P. Laurel;36;PA;Smiling Oilman;High;M50011;x
50015;Minister of Security;Benigno Aquino sr.;36;PA;Crooked Kleptocrat;Medium;M50015;x
50018;Chief of Army;Basilio J. Valdez;36;PA;Static Defence Doctrine;Medium;M50017;x
50020;Chief of Air Force;Felix Pestana;36;FA;Air Superiority Doctrine;Medium;M50020;x
50021;Head of State;Crisanto Evangelista;36;LE;Weary Stiffneck;High;M50021;x
50022;Head of Government;Pedro Abad Santos;36;LE;Corporate Suit;High;M50022;x
50023;Foreign Minister;Casto Alejandrino;36;LE;Apologetic Clerk;Medium;M50023;x
50024;Minister of Armament;Crisanto Evangelista;36;LE;Administrative Genius;Medium;M50021;x
50025;Minister of Security;Mariano Balgos;36;LWR;Crime Fighter;Medium;M50025;x
50026;Head of Military Intelligence;Luis Taruc;36;LE;Dismal Enigma;Medium;M50026;x
50027;Chief of Staff;Luis Taruc;36;LE;School of Manoeuvre;Medium;M50026;x
50028;Chief of Army;Jesus Lava;36;LE;Guns and Butter Doctrine;Medium;M50028;x
50029;Chief of Navy;Jesus Lava;36;LE;Base Control Doctrine;Medium;M50028;x
50030;Chief of Air Force;Joe Rogers;36;LWR;Carpet Bombing Doctrine;Medium;M50030;x
