URO;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
65101;Head of State;Josip Broz;36;ST;Stern Imperialist;High;M20021;x
65102;Head of Government;Luigi Longo;36;ST;Silent Workhorse;High;M3022;x
65103;Foreign Minister;Bernardo Attolico;36;ST;Biased Intellectual;High;M3058;x
65104;Foreign Minister;Palmiro Togliatti;36;ST;Ideological Crusader;High;M3021;x
65105;Foreign Minister;Francois Deak;36;ST;Apologetic Clerk;Medium;M21076;x
65106;Foreign Minister;Willi Frank;36;ST;Iron Fisted Brute;Medium;M23035;x
65107;Foreign Minister;Stanoje Simic;36;ST;Great Compromiser;Medium;M20023;x
65108;Foreign Minister;Matta Zalka;36;ST;General Staffer;Medium;M21037;x
65109;Foreign Minister;Pietro Nenni;36;ST;The Cloak N Dagger Schemer;High;M3062;x
65110;Minister of Armament;Giovanni Ciraolo;36;ST;Administrative Genius;High;M3084;x
65111;Minister of Armament;Antonio Pesenti;36;ST;Resource Industrialist;High;M3024;x
65112;Minister of Armament;Ernö Gerö;39;ST;Theoretical Scientist;Medium;M21093;x
65113;Minister of Armament;G. Barone Paulucci di Calboli;36;ST;laissez-faire capitalist;High;M3086;x
65114;Minister of Armament;Zoltán Vas;36;ST;Military Entrepreneur;Medium;M21034;x
65115;Minister of Armament;Paul von Hegedüs;36;ST;Battle Fleet Proponent;High;M23009;x
65116;Minister of Armament;Robert Winterstein;36;ST;Submarine Proponent;Medium;M23025;x
65117;Minister of Armament;Draza Mihailovic;36;ST;Tank Proponent;Medium;M20055;x
65118;Minister of Armament;Vittorio Vidali;36;ST;Infantry Proponent;High;M3087;x
65119;Minister of Armament;Alberto Pariani;36;ST;Air Superiority Proponent;High;M3008;x
65120;Minister of Armament;Edgar Keksz;36;ST;Corrupt Kleptocrat;Medium;M21073;x
65121;Minister of Armament;Fulberto Vivaldi;36;ST;Air to Ground Proponent;High;M3079;x
65122;Minister of Armament;Mauro Scoccimarro;36;ST;Air to Sea Proponent;High;M3088;x
65123;Minister of Armament;Luigi Einaudi;36;ST;Strategic Air Proponent;High;M3085;x
65124;Minister of Security;Conde Stefano Jacini;36;ST;Silent Lawyer;High;M3046;x
65125;Minister of Security;Giuseppe Romita;36;ST;Compassionate Gentleman;High;M3105;x
65126;Minister of Security;Palmiro Togliatti;36;ST;Crime Fighter;High;M3021;x
65127;Minister of Security;Mihaly Farkas;36;ST;Prince of Terror;Medium;M21110;x
65128;Minister of Security;Otto Bauer;36;ST;Back Stabber;Very Low;M23031;x
65129;Minister of Security;Benito Mussolini;36;ST;Man of the People;Very High;M3002;x
65130;Minister of Security;Julian Zugazagoitia Mendieta;36;ST;Efficient Sociopath;High;M3107;x
65131;Minister of Security;Edgar Keksz;36;ST;Crooked Kleptocrat;Medium;M21073;x
65132;Head of Military Intelligence;Palmiro Togliatti;36;ST;Technical Specialist;High;M3021;x
65133;Head of Military Intelligence;Ernö Gerö;36;ST;Logistics Specialist;Medium;M21093;x
65134;Head of Military Intelligence;Guiseppe di Vittorio;36;ST;Political Specialist;High;M3120;x
65135;Head of Military Intelligence;Alfredo de Marschio;36;ST;Dismal Enigma;Low;M3110;x 
65136;Head of Military Intelligence;Julius Raab;36;ST;Industrial Specialist;Medium;M23004;x
65137;Head of Military Intelligence;Ezio Vanoni;36;ST;Naval Intelligence Specialist;High;M3117;x
65138;Chief of Staff;Ferdinand Strasser;36;ST;School of Manoeuvre;High;M23037;x
65139;Chief of Staff;Mario Cingolani;36;ST;School of Fire Support;High;M3130;x
65140;Chief of Staff;Luigi Longo;36;ST;School of Mass Combat;High;M3022;x
65141;Chief of Staff;Draza Mihailovic;36;ST;School of Defence;Medium;M20012;x
65142;Chief of Staff;Matta Zalka;36;ST;School of Psychology;Medium;M21037;x
65143;Chief of Army;János Vörös;36;ST;Elastic Defence Doctrine;Medium;M21017;x
65144;Chief of Army;Richard Bernaschek;36;ST;Static Defence Doctrine;Medium;M23038;x
65145;Chief of Army;Nikolaj Berzin;36;ST;Decisive Battle Doctrine;Medium;M21038;x
65146;Chief of Army;Mario Roatta;36;ST;Armoured Spearhead Doctrine;High;M3140;x
65147;Chief of Army;Giancarlo Pajetta;36;ST;Guns and Butter Doctrine;High;M3028;x
65148;Chief of Navy;Giancarlo Pajetta;36;ST;Open Seas Doctrine;High;M3028;x
65149;Chief of Navy;Miklós Horthy de Nagybánya;36;ST;Decisive Naval Battle Doctrine;Medium;M21001;x
65150;Chief of Navy;Vittorio Scialoja;36;ST;Power Projection Doctrine;High;M3157;x
65151;Chief of Navy;Petra Dumev;36;ST;Indirect Approach Doctrine;High;M20085;x
65152;Chief of Navy;Josef Teufl;36;ST;Base Control Doctrine;Medium;M23047;x
65153;Chief of Air Force;Ivan Ribar;36;ST;Air Superiority Doctrine;High;M20093;x
65154;Chief of Air Force;Pietro Piacentini;36;ST;Naval Aviation Doctrine;High;M3165;x
65155;Chief of Air Force;Kálmán Ternegg-Ratz;36;ST;Army Aviation Doctrine;Medium;M21163;x
65156;Chief of Air Force;Josef Bürckel;36;ST;Carpet Bombing Doctrine;High;M23042;x
65157;Chief of Air Force;Antonio Scialoja;36;ST;Vertical Envelopment Doctrine;High;M3166;x
