U98;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
900800;Head of State;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900801;Head of Government;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900802;Foreign Minister;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900803;Minister of Armament;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900804;Minister of Security;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900805;Head of Military Intelligence;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900806;Chief of Staff;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900807;Chief of Army;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900808;Chief of Navy;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900809;Chief of Air Force;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900810;Head of State;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900811;Head of Government;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900812;Foreign Minister;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900813;Minister of Armament;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900814;Minister of Security;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900815;Head of Military Intelligence;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900816;Chief of Staff;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900817;Chief of Army;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900818;Chief of Navy;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900819;Chief of Air Force;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900820;Head of State;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900821;Head of Government;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900822;Foreign Minister;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900823;Minister of Armament;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900824;Minister of Security;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900825;Head of Military Intelligence;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900826;Chief of Staff;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900827;Chief of Army;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900828;Chief of Navy;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900829;Chief of Air Force;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
