POR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
9001;Head of State;António de Fragosa Carmona;36;PA;Stern Imperialist;High;M9001;x
9002;Head of Government;A. Oliveira Salazar;36;PA;Backroom Backstabber;High;M9002;x
9003;Foreign Minister;A. Oliveira Salazar;36;PA;Ideological Crusader;Very High;M9002;x
9004;Minister of Armament;Raul Brandao;36;PA;Resource Industrialist;Medium;M9004;x
9005;Minister of Security;Mario Pais Sousa;36;PA;Crooked Kleptocrat;High;M9005;x
9006;Head of Military Intelligence;Pedro Teotónio Pereira;36;PA;Dismal Enigma;High;M9006;x
9007;Chief of Staff;Tasso Miranda Cabral;36;PA;School of Fire Support;Very High;M9007;x
9008;Chief of Army;J.A. Lobato Guerra;36;PA;Guns and Butter Doctrine;High;M9008;x
9009;Chief of Navy;Jaime Afreixo;36;PA;Base Control Doctrine;Very High;M9009;x
9010;Chief of Air Force;Manuel Gouveia;36;PA;Vertical Envelopment Doctrine;High;M9010;x
9041;Foreign Minister;Affonso Costa;37;SC;The Cloak N Dagger Schemer;Medium;M9041;x
9042;Foreign Minister;Luis Almeida Braga;38;SC;Iron Fisted Brute;Low;M9042;x
9043;Foreign Minister;D.Fezas Vital;41;SC;General Staffer;Medium;M9022;x
9044;Foreign Minister;Rui Ulrich;42;SL;Great Compromiser;Medium;M9023;x
9045;Foreign Minister;Xavier Cordeiro;43;PA;Biased Intellectual;Medium;M9045;x
9046;Foreign Minister;Francisco Cunha Leal;45;SL;The Cloak N Dagger Schemer;Low;M9013;x
9047;Foreign Minister;Alfredo Pimenta;45;PA;Ideological Crusader;High;M9026;x
9048;Foreign Minister;José Caeiro da Mata;47;PA;Great Compromiser;High;M9048;x
9049;Minister of Armament;José H. Vaz Raposo;36;SC;Infantry Proponent;Medium;M9049;x
9050;Minister of Armament;H.M. Paiva Couceiro;37;SC;Submarine Proponent;Medium;M9028;x
9051;Minister of Armament;Joaõ Chagas;37;SC;Military Entrepreneur;Medium;M9051;x
9052;Minister of Armament;Vasco Carvalho;37;SC;Theoretical Scientist;Medium;M9052;x
9053;Minister of Armament;Joao Nunes Costa;38;PA;Air to Ground Proponent;High;M9053;x
9054;Minister of Armament;Antonio Sardinho;38;PA;Administrative Genius;High;M9024;x
9055;Minister of Armament;Alberto Monsaraz;39;FA;laissez-faire capitalist;Medium;M9055;x
9056;Minister of Armament;Antonio M. B. Ferreira;39;SC;Tank Proponent;Medium;M9056;x
9057;Minister of Armament;Jaime Cortesão;40;SD;Tank Proponent;Very Low;M9012;x
9058;Minister of Armament;Armindo Monteiro;44;PA;Battle Fleet Proponent;Very High;M9058;x
9059;Minister of Armament;F.Salgado Zenha;46;LE;Military Entrepreneur;Low;M9034;x
9060;Minister of Security;Afonso Lucas;36;SC;Silent Lawyer;High;M9025;x
9061;Minister of Security;M. Nobre Melo;36;PA;Efficient Sociopath;Very High;M9061;x
9062;Minister of Security;Aquilino Ribeiro;37;SC;Crime Fighter;High;M9062;x
9063;Minister of Security;J.Costa Leite;41;PA;Back Stabber;High;M9063;x
9064;Minister of Security;Alfredo Pimenta;43;PA;Prince of Terror;Very High;M9026;x
9065;Minister of Security;J.Botelho Moniz;44;FA;Compassionate Gentleman;High;M9065;x
9066;Minister of Security;Henrique Galvao;45;PA;Man of the People;Medium;M9066;x
9067;Head of Military Intelligence;Julio Dantas;38;PA;Industrial Specialist;High;M9067;x
9068;Head of Military Intelligence;Joao Pereira Bastos;39;PA;Logistics Specialist;High;M9016;x
9069;Head of Military Intelligence;Augusto Vasconcellos;42;PA;Technical Specialist;High;M9069;x
9070;Chief of Staff;J.A. Silva Bastos;38;PA;School of Mass Combat;High;M9027;x
9071;Chief of Staff;Eduardo A. Marques;42;PA;School of Fire Support;High;M9071;x
9072;Chief of Army;J.M. Norton Matos;36;SL;Static Defence Doctrine;Very Low;M9072;x
9073;Chief of Army;Rolao Pretea;42;FA;Armoured Spearhead Doctrine;Very High;M9073;x
9074;Chief of Army;J.Barros Rodrigues;44;FA;Elastic Defence Doctrine;Very High;M9074;x
9075;Chief of Navy;Quintão Meireles;39;PA;Open Seas Doctrine;Very High;M9029;x
9076;Chief of Navy;Americo Deus Tomas;44;PA;Open Seas Doctrine;High;M9076;x
9077;Chief of Air Force;Ortins Bettencourt;37;PA;Naval Aviation Doctrine;High;M9077;x
9078;Chief of Air Force;J.M. Sarmento Beires;43;SC;Carpet Bombing Doctrine;Low;M9020;x
9079;Chief of Air Force;Humberto Delgado;47;SL;Air Superiority Doctrine;Medium;M9079;x
9011;Head of State;Raul Brandao;36;SL;Insignificant Layman;High;M9004;x
9012;Head of Government;Jaime Cortesão;36;SD;Smiling Oilman;High;M9012;x
9015;Minister of Security;Raul Proenca;36;SD;Back Stabber;Low;M9015;x
9017;Chief of Staff;Raul Brandao;36;SL;School of Defence;Medium;M9004;x
9018;Chief of Army;Humberto Carmona;36;SL;Static Defence Doctrine;Low;M9018;x
9019;Chief of Navy;José Sarmento Pimentel;36;SD;Base Control Doctrine;High;M9019;x
9020;Chief of Air Force;J.M.Sarmento Beires;36;SD;Naval Aviation Doctrine;High;M9020;x
9031;Head of State;Bento Gonçalves;36;LE;Weary Stiffneck;High;M9031;x
