U87;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
800700;Head of State;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800701;Head of Government;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800702;Foreign Minister;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800703;Minister of Armament;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800704;Minister of Security;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800705;Head of Military Intelligence;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800706;Chief of Staff;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800707;Chief of Army;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800708;Chief of Navy;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800709;Chief of Air Force;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800710;Head of State;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800711;Head of Government;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800712;Foreign Minister;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800713;Minister of Armament;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800714;Minister of Security;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800715;Head of Military Intelligence;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800716;Chief of Staff;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800717;Chief of Army;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800718;Chief of Navy;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800719;Chief of Air Force;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800720;Head of State;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800721;Head of Government;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800722;Foreign Minister;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800723;Minister of Armament;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800724;Minister of Security;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800725;Head of Military Intelligence;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800726;Chief of Staff;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800727;Chief of Army;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800728;Chief of Navy;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800729;Chief of Air Force;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
