U85;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
800500;Head of State;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800501;Head of Government;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800502;Foreign Minister;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800503;Minister of Armament;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800504;Minister of Security;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800505;Head of Military Intelligence;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800506;Chief of Staff;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800507;Chief of Army;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800508;Chief of Navy;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800509;Chief of Air Force;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800510;Head of State;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800511;Head of Government;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800512;Foreign Minister;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800513;Minister of Armament;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800514;Minister of Security;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800515;Head of Military Intelligence;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800516;Chief of Staff;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800517;Chief of Army;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800518;Chief of Navy;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800519;Chief of Air Force;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800520;Head of State;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800521;Head of Government;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800522;Foreign Minister;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800523;Minister of Armament;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800524;Minister of Security;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800525;Head of Military Intelligence;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800526;Chief of Staff;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800527;Chief of Army;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800528;Chief of Navy;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800529;Chief of Air Force;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
