BUL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
19001;Head of State;Boris III;36;PA;Autocratic Charmer;High;M19001;x
19002;Head of Government;Georgi Kioseivanov;36;PA;Backroom Backstabber;High;M19002;x
19003;Foreign Minister;Georgi Kioseivanov;36;PA;Biased Intellectual;High;M19002;x
19004;Minister of Armament;Kiril Gounev;36;PA;Administrative Genius;Medium;M19004;x
19005;Minister of Security;Georgi Sapov;36;PA;Crime Fighter;Low;M19005;x
19006;Head of Military Intelligence;Dimitar Peshev;36;PA;Dismal Enigma;Medium;M19006;x
19007;Chief of Staff;Hristo Lukov;36;PA;School of Defence;Low;M19007;x
19008;Chief of Army;Todor Georgiev;36;PA;Static Defence Doctrine;Medium;M19008;x
19009;Chief of Navy;Sava Ivanov;36;PA;Open Seas Doctrine;Medium;M19009;x
19010;Chief of Air Force;Vasil Boydev;36;PA;Air Superiority Doctrine;Medium;M19010;x
19042;Head of State;Kiril de Preslav;43;PA;Stern Imperialist;High;M19042;x
19043;Head of State;Boris III;39;NS;Autocratic Charmer;High;M19001;x
19044;Head of State;Aleksandur Tsankov;43;NS;Barking Buffoon;High;M19021;x
19045;Head of State;Boris III;39;SC;Autocratic Charmer;High;M19001;x
19046;Head of State;Kiril de Preslav;43;SC;Stern Imperialist;High;M19042;x
19047;Head of State;Nikola Petkov;45;SC;Die-hard Reformer;High;M19047;x
19048;Head of State;Kiril de Preslav;44;LWR;Stern Imperialist;High;M19042;x
19049;Head of State;Comrade Boris Coburg;39;ST;Autocratic Charmer;High;M19001;x
19050;Head of State;Georgi Dimitrov;43;ST;Powerhungry Demagogue;High;M19032;x
19051;Head of State;Vasil Kolarov;45;ST;Weary Stiffneck;High;M19031;x
19052;Head of Government;Bogdan Filov;39;PA;Political Protege;High;M19024;x
19053;Head of Government;Dobri Bojilov;43;PA;Corporate Suit;High;M19053;x
19054;Head of Government;Ivan Bagrianov;44;PA;Old General;High;M19054;x
19055;Head of Government;Aleksandur Tsankov;39;NS;Backroom Backstabber;High;M19021;x
19056;Head of Government;Petur Gabrovski;43;PA;Naive Optimist;High;M19022;x
19057;Head of Government;Konstantin Muraviev;39;SC;Happy Amateur;High;M19012;x
19058;Head of Government;Nikola Petkov;44;SC;Flamboyant Tough Guy;High;M19047;x
19059;Head of Government;Kimon Georgiev;44;LWR;Naive Optimist;High;M19059;x
19060;Head of Government;Georgi Dimitrov;39;ST;Political Protege;High;M19032;x
19061;Foreign Minister;Ivan Popov;39;PA;Biased Intellectual;Medium;M19061;x
19062;Foreign Minister;Aleksander Nikolaiev;39;PA;Ideological Crusader;Medium;M19062;x
19063;Foreign Minister;Bogdan Filov;42;PA;Biased Intellectual;Medium;M19024;x
19064;Foreign Minister;Dimitar Shishmanov;43;PA;The Cloak N Dagger Schemer;Medium;M19064;x
19065;Foreign Minister;Ivan Bagrianov;44;PA;Iron Fisted Brute;Medium;M19054;x
19066;Foreign Minister;Pyrvan Draganov;44;FA;General Staffer;Medium;M19066;x
19067;Foreign Minister;Aleksandur Tsankov;39;FA;Ideological Crusader;Medium;M19021;x
19068;Foreign Minister;Atanas Burov;39;SC;Great Compromiser;Low;M19068;x
19069;Foreign Minister;Georgi Brasov;43;SC;Biased Intellectual;Low;M19069;x
19070;Foreign Minister;Konstantin Muraviev;44;SC;Apologetic Clerk;Medium;M19012;x
19071;Foreign Minister;Nikola Petkov;45;SC;The Cloak N Dagger Schemer;Medium;M19047;x
19072;Foreign Minister;Petko Stainov;44;LWR;Biased Intellectual;Medium;M19072;x
19073;Foreign Minister;Georgi Kulichev;45;LWR;The Cloak N Dagger Schemer;Very High;M19073;x
19074;Foreign Minister;Vasil Kolarov;39;ST;Ideological Crusader;High;M19031;x
19075;Foreign Minister;Georgi Damianov;44;ST;Iron Fisted Brute;Very High;M19075;x
19076;Foreign Minister;Kimon Georgiev;45;LE;General Staffer;Medium;M19059;x
19077;Minister of Armament;Dobri Bojilov;38;PA;Infantry Proponent;Medium;M19053;x
19078;Minister of Armament;Georgi Sapov;39;PA;Corrupt Kleptocrat;Low;M19005;x
19079;Minister of Armament;Sava Kirov;41;PA;laissez-faire capitalist;Low;M19079;x
19080;Minister of Armament;Stanko Nikoladorov;44;PA;Corrupt Kleptocrat;Low;M19080;x
19081;Minister of Armament;Bogdan Filov;39;FA;Infantry Proponent;Medium;M19024;x
19082;Minister of Armament;Aleksandar Gerginov;39;SC;Resource Industrialist;Medium;M19014;x
19083;Minister of Armament;Atanas Burov;43;SC;laissez-faire capitalist;Low;M19083;x
19084;Minister of Armament;Dimitar Savov;44;SC;Tank Proponent;Low;M19084;x
19085;Minister of Armament;Ivan Gaidimitriv;45;SC;Strategic Air Proponent;Low;M19085;x
19086;Minister of Armament;Petko Stoyanov;44;LWR;Theoretical Scientist;Low;M19086;x
19087;Minister of Armament;Stancho Cholakov;45;LWR;Administrative Genius;Medium;M19087;x
19088;Minister of Armament;Georgi Dimitrov;39;ST;Military Entrepreneur;Medium;M19032;x
19089;Minister of Armament;Ivan Stefanov;44;LE;Battle Fleet Proponent;Low;M19034;x
19090;Minister of Armament;Petko Kounin;45;ST;Air to Ground Proponent;High;M19090;x
19091;Minister of Security;Ivan Krasnovski;37;PA;Efficient Sociopath;Medium;M19091;x
19092;Minister of Security;Nikolay Nikolaev;38;PA;Crime Fighter;Medium;M19092;x
19093;Minister of Security;Nikola Nedev;39;PA;Silent Lawyer;Medium;M19093;x
19094;Minister of Security;Docho Hristov;43;PA;Crooked Kleptocrat;Medium;M19094;x
19095;Minister of Security;Aleksandyr Stanishev;44;PA;Prince of Terror;Medium;M19095;x
19096;Minister of Security;Dimitar Peshev;39;FA;Compassionate Gentleman;Low;M19006;x
19097;Minister of Security;Petur Gabrovski;44;FA;Back Stabber;Low;M19022;x
19098;Minister of Security;Aleksandar Gerginov;39;SC;Silent Lawyer;Medium;M19014;x
19099;Minister of Security;Rajcho Pekimov;43;SC;Efficient Sociopath;Medium;M19099;x
19100;Minister of Security;Vergil Dimov;44;SC;Man of the People;Medium;M19100;x
19101;Minister of Security;Nikola Mushanov;45;SC;Compassionate Gentleman;High;M19015;x
19102;Minister of Security;Georgi Kulichev;44;LWR;Crime Fighter;Very High;M19073;x
19103;Minister of Security;Vulko Chervenkov;39;ST;Prince of Terror;High;M19103;x
19104;Minister of Security;Anton Yugov;44;ST;Prince of Terror;High;M19035;x
19105;Head of Military Intelligence;Kiril Gounev;39;PA;Naval Intelligence Specialist;Medium;M19004;x
19106;Head of Military Intelligence;Stefan Noikov;43;PA;Political Specialist;Low;M19106;x
19107;Head of Military Intelligence;Sava Kirov;44;PA;Industrial Specialist;Low;M19079;x
19108;Head of Military Intelligence;Kiril Stanchev;39;FA;Dismal Enigma;Medium;M19026;x
19109;Head of Military Intelligence;Ivan Rogosarski;44;NS;Logistics Specialist;Medium;M19109;x
19110;Head of Military Intelligence;Boris Botan;39;SC;Naval Intelligence Specialist;Medium;M19110;x
19111;Head of Military Intelligence;Atanas Burov;43;SC;Industrial Specialist;Medium;M19016;x
19112;Head of Military Intelligence;Georgi Kulichev;44;LWR;Naval Intelligence Specialist;Very High;M19073;x
19113;Head of Military Intelligence;Traicho Kostov;39;ST;Logistics Specialist;Medium;M19036;x
19114;Head of Military Intelligence;Mincho Neychev;45;ST;Political Specialist;Medium;M19114;x
19115;Chief of Staff;Teodosi Daskalov;39;PA;School of Defence;Medium;M19115;x
19116;Chief of Staff;Nikola Mihov;42;PA;School of Fire Support;Medium;M19116;x
19117;Chief of Staff;Russi Russev;43;PA;School of Mass Combat;High;M19117;x
19118;Chief of Staff;Todor Georgiev;44;PA;School of Manoeuvre;Medium;M19008;x
19119;Chief of Staff;Ivan Vulkov;39;FA;School of Defence;High;M19027;x
19120;Chief of Staff;Ivan Marinov;39;SC;School of Manoeuvre;Very Low;M19017;x
19121;Chief of Staff;Georgi Petsov;43;SC;School of Defence;Medium;M19019;x
19122;Chief of Staff;Damjan Velchev;44;LWR;School of Psychology;Medium;M19122;x
19123;Chief of Staff;Hristo Mikhailov;39;ST;School of Mass Combat;Medium;M19037;x
19124;Chief of Staff;Assen Grekov;45;ST;School of Manoeuvre;Medium;M19124;x
19125;Chief of Army;Iordan Peev;37;PA;Decisive Battle Doctrine;Medium;M19125;x
19126;Chief of Army;Nikola Hadjipetkov;39;PA;Static Defence Doctrine;Low;M19126;x
19127;Chief of Army;Vasil Boydev;41;PA;Elastic Defence Doctrine;Medium;M19127;x
19128;Chief of Army;Konstantin Lukash;43;PA;Guns and Butter Doctrine;Medium;M19128;x
19129;Chief of Army;Kiril Stanchev;44;PA;Armoured Spearhead Doctrine;Medium;M19026;x
19130;Chief of Army;Hristo Lukov;39;FA;Static Defence Doctrine;High;M19007;x
19131;Chief of Army;Trifon Trifonov;44;FA;Elastic Defence Doctrine;Medium;M19131;x
19132;Chief of Army;Ivan Marinov;39;SC;Static Defence Doctrine;Low;M19017;x
19133;Chief of Army;Rajcho Slavkov;44;SC;Guns and Butter Doctrine;Medium;M19018;x
19134;Chief of Army;Mikhail Mintchev;44;LWR;Guns and Butter Doctrine;Medium;M19134;x
19135;Chief of Army;Tsvjatko Radojnov;39;ST;Decisive Battle Doctrine;High;M19038;x
19136;Chief of Army;Ivan Kinov;44;ST;Armoured Spearhead Doctrine;Medium;M19136;x
19137;Chief of Navy;Ivan Variclechkov;38;PA;Base Control Doctrine;High;M19137;x
19138;Chief of Navy;Asen Toshev;39;PA;Open Seas Doctrine;High;M19138;x
19139;Chief of Navy;Atanas Shalapatov;39;FA;Decisive Naval Battle Doctrine;Medium;M19029;x
19141;Chief of Navy;Racho Batanov;44;LWR;Open Seas Doctrine;Medium;M19141;x
19142;Chief of Navy;Kiril Khalatchev;39;ST;Indirect Approach Doctrine;Medium;M19039;x
19143;Chief of Navy;Stefan Tzanev;45;ST;Decisive Naval Battle Doctrine;Very Low;M19143;x
19145;Chief of Air Force;Dimitar Ayrjanov;41;PA;Air Superiority Doctrine;Medium;M19145;x
19146;Chief of Air Force;Chudomir Toplodolski;39;FA;Vertical Envelopment Doctrine;Medium;M19030;x
19147;Chief of Air Force;Stoyan Stoyanov;39;SC;Air Superiority Doctrine;Medium;M19020;x
