U99;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
900900;Head of State;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900901;Head of Government;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900902;Foreign Minister;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900903;Minister of Armament;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900904;Minister of Security;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900905;Head of Military Intelligence;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900906;Chief of Staff;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900907;Chief of Army;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900908;Chief of Navy;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900909;Chief of Air Force;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900910;Head of State;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900911;Head of Government;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900912;Foreign Minister;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900913;Minister of Armament;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900914;Minister of Security;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900915;Head of Military Intelligence;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900916;Chief of Staff;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900917;Chief of Army;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900918;Chief of Navy;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900919;Chief of Air Force;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900920;Head of State;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900921;Head of Government;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900922;Foreign Minister;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900923;Minister of Armament;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900924;Minister of Security;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900925;Head of Military Intelligence;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900926;Chief of Staff;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900927;Chief of Army;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900928;Chief of Navy;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900929;Chief of Air Force;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
