IRQ;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
91001;Head of State;Ghazi I ibn Faysal;36;SC;Autocratic Charmer;High;M91001;x
91002;Head of Government;Yasin Pasha al Hashimi;36;SC;Naive Optimist;High;M91002;x
91003;Foreign Minister;Nuri as Said;36;SC;General Staffer;Medium;M91003;x
91004;Minister of Armament;Ghazi I ibn Faysal;36;SC;laissez-faire capitalist;High;M91001;x
91005;Minister of Security;Ali Abn Hussein;36;SC;Back Stabber;Medium;M91005;x
91006;Head of Military Intelligence;Yasin Pasha al Hashimi;36;SC;Naval Intelligence Specialist;High;M91002;x
91007;Chief of Staff;Bakr Sidqi;36;SC;School of Defence;Low;M91007;x
91008;Chief of Army;Frederic G.Peake;36;SC;Elastic Defence Doctrine;Medium;M91008;x
91009;Chief of Navy;A.R.H. Nye;36;SC;Open Seas Doctrine;Medium;M91009;x
91010;Chief of Air Force;Ali ben Jawad;36;SC;Air Superiority Doctrine;Medium;M91010;x
91031;Head of State;Ghazi I ibn Faysal;36;LWR;Autocratic Charmer;High;M91001;x
91033;Head of State;Ghazi I ibn Faysal;36;PA;Autocratic Charmer;High;M91001;x
91034;Head of State;Ghazi I ibn Faysal;36;FA;Autocratic Charmer;High;M91001;x
91035;Head of State;Amir al Illah;39;LWR;Stern Imperialist;High;M91035;x
91036;Head of State;Amir al Illah;39;SC;Stern Imperialist;High;M91035;x
91037;Head of State;Amir al Illah;39;PA;Stern Imperialist;High;M91035;x
91038;Head of State;Amir al Illah;39;FA;Stern Imperialist;High;M91035;x
91039;Head of State;Faysal II ibn Ghazi;46;LWR;Benevolent Gentleman;High;M91039;x
91041;Head of State;Faysal II ibn Ghazi;46;PA;Benevolent Gentleman;High;M91039;x
91042;Head of State;Faysal II ibn Ghazi;46;FA;Benevolent Gentleman;High;M91039;x
91043;Head of Government;Moussa al Alami;36;SC;Silent Workhorse;High;M91043;x
91044;Head of Government;Taha Pasha al Hashimi;41;PA;Happy Amateur;High;M91044;x
91045;Head of Government;Ragheb Nashashibi;46;SC;Flamboyant Tough Guy;High;M91045;x
91046;Head of Government;Azam Pasha;36;PA;Old General;High;M91046;x
91047;Head of Government;Jamil al Midfai;37;PA;Smiling Oilman;High;M91047;x
91048;Head of Government;Nuri as Said;38;PA;Old General;High;M91003;x
91049;Head of Government;Hamdi al Pachachi;44;PA;Silent Workhorse;High;M91049;x
91050;Head of Government;Salih Jabr;47;PA;Political Protege;High;M91050;x
91051;Head of Government;Fawsi al Kaukji;36;FA;Flamboyant Tough Guy;High;M91014;x
91052;Head of Government;Rashid Ali al Gaylani;40;FA;Smiling Oilman;High;M91011;x
91053;Head of Government;Haj Amini al Husseini;41;FA;Backroom Backstabber;High;M91013;x
91054;Head of Government;Hikmet Suleyman;36;LWR;Naive Optimist;High;M91054;x
91055;Head of Government;Yahya Hamudeh;40;LWR;Backroom Backstabber;High;M91021;x
91056;Head of Government;Tawfiq al Suweidi;46;LWR;Ambitious Union Boss;High;M91056;x
