OTT;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
549001;Head of State;Abdul Hamid II;36;PA;Pig-headed Isolationist;High;M549001;x
549002;Head of Government;Abdulhamid Talaat Pasha;36;PA;Political Protege;High;M549002;x
549003;Foreign Minister;Said Halim Pasha;36;PA;The Cloak N Dagger Schemer;High;M549003;x
549004;Minister of Armament;Kedir Enver Pasha;36;PA;Corrupt Kleptocrat;Medium;M549004;x
549005;Minister of Security;Haslim Nazim Pasha;36;PA;Back Stabber;Medium;M549005;x
549006;Head of Military Intelligence;Kadir Moncef Bey;36;PA;Logistics Specialist;Medium;M549006;x
549007;Chief of Staff;Cahit Vedat Pasha;36;PA;School of Fire Support;Medium;M549007;x
549008;Chief of Army;Mustapha Kemal Pasha;36;PA;Elastic Defence Doctrine;Medium;M549008;x
549009;Chief of Navy;Huseyn Rauf;36;PA;Indirect Approach Doctrine;Medium;M549009;x
549010;Chief of Air Force;Kedir Enver Pasha;36;PA;Vertical Envelopment Doctrine;Medium;M549010;x
549011;Head of State;Muhammed VI Khan;36;SC;Weary Stiffneck;High;M549011;x
549012;Head of State;Ahmad Nikhad;36;ML;Autocratic Charmer;High;M549012;x
549013;Head of State;Osman Fuad;36;SD;Die-hard Reformer;High;M549013;x
549014;Head of Government;Hussein Avni Pasha;36;SC;Old General;High;M549014;x
549015;Head of Government;Refik Semir Bey;36;ML;Smiling Oilman;High;M549015;x
549016;Head of Government;Ahmed Tsirri Bey;36;SD;Corporate Suit;High;M549016;x
549017;Foreign Minister;Omar Lattas Pasha;40;PA;General Staffer;High;M549017;x
549018;Foreign Minister;Abdul Majid Khan;41;PA;Apologetic Clerk;High;M549018;x
549019;Foreign Minister;Mehmed Namid Kemal Bey;36;SC;Biased Intellectual;High;M549019;x
549020;Foreign Minister;Basir Rami Bey;36;ML;Iron Fisted Brute;High;M549020;x
549021;Foreign Minister;Gaafar Wali Pasha;36;SD;Great Compromiser;High;M549021;x
549022;Foreign Minister;Ali Visab;43;SD;Ideological Crusader;High;M549022;x
549023;Minister of Armament;Ali Emin Pasha;42;PA;Theoretical Scientist;Medium;M549023;x
549024;Minister of Armament;Hussein Kamil;36;SC;Air to Ground Proponent;Medium;M549024;x
549025;Minister of Armament;Erkan Djavid Pasha;39;SC;Administrative Genius;Medium;M549025;x
549026;Minister of Armament;Yussef Hamid Bey;36;ML;Military Entrepreneur;Medium;M549026;x
549027;Minister of Armament;Ibrahim Shinassi;36;SD;Submarine Proponent;Medium;M549027;x
549028;Minister of Armament;Udi Cemil Bey;41;SD;Infantry Proponent;Medium;M549028;x
549029;Minister of Security;Ramazan Dogramaci;41;PA;Efficient Sociopath;Medium;M549029;x
549030;Minister of Security;Eskibaskan Dahmet Bey;36;SC;Prince of Terror;Medium;M549030;x
549031;Minister of Security;Hurpit Gelik;41;SC;Silent Lawyer;Medium;M549031;x
549032;Minister of Security;Arif Dajani Pasha;36;ML;Crime Fighter;Medium;M549032;x
549033;Minister of Security;Omer Sevki Bey;36;SD;Compassionate Gentleman;Medium;M549033;x
549034;Head of Military Intelligence;Hamit Sahap Bey;36;SC;Technical Specialist;Medium;M549034;x
549035;Head of Military Intelligence;Oktan Halis;36;ML;Naval Intelligence Specialist;Medium;M549035;x
549036;Head of Military Intelligence;Mohammed Serageddin Pasha;36;SD;Dismal Enigma;Medium;M549036;x
549037;Chief of Staff;Ismet Inönu Pasha;41;PA;School of Defence;Medium;M549037;x
549038;Chief of Staff;Topal Osman;36;SC;School of Psychology;Medium;M549038;x
549039;Chief of Staff;Mehmed Kiamil Pasha;36;ML;School of Mass Combat;Medium;M549039;x
549040;Chief of Staff;Osman Fuad;36;SD;School of Manoeuvre;Medium;M549013;x
549041;Chief of Army;Hussein Avni Pasha;36;SC;Static Defence Doctrine;Medium;M549014;x
549042;Chief of Army;Ekmelledin Ülkü;36;ML;Decisive Battle Doctrine;Medium;M549042;x
549043;Chief of Army;Fevsi Tülin;36;SD;Armoured Spearhead Doctrine;Medium;M549043;x
549044;Chief of Navy;Abdul Hamid Zia Pasha;36;SC;Decisive Naval Battle Doctrine;Medium;M549044;x
549045;Chief of Navy;Ahmad Nikhad;36;ML;Base Control Doctrine;Medium;M549012;x
549046;Chief of Navy;Hamit Perikanovlu;36;SD;Power Projection Doctrine;Medium;M549046;x
549047;Chief of Air Force;Muhammed VI Khan;36;SC;Air Superiority Doctrine;Medium;M549011;x
549048;Chief of Air Force;Deniz Uche;36;ML;Army Aviation Doctrine;Medium;M549048;x
549049;Chief of Air Force;Meshut Serif Pasha;36;SD;Carpet Bombing Doctrine;Medium;M549049;x
