U84;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
800400;Head of State;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800401;Head of Government;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800402;Foreign Minister;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800403;Minister of Armament;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800404;Minister of Security;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800405;Head of Military Intelligence;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800406;Chief of Staff;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800407;Chief of Army;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800408;Chief of Navy;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800409;Chief of Air Force;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
800410;Head of State;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800411;Head of Government;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800412;Foreign Minister;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800413;Minister of Armament;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800414;Minister of Security;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800415;Head of Military Intelligence;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800416;Chief of Staff;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800417;Chief of Army;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800418;Chief of Navy;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800419;Chief of Air Force;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
800420;Head of State;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800421;Head of Government;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800422;Foreign Minister;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800423;Minister of Armament;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800424;Minister of Security;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800425;Head of Military Intelligence;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800426;Chief of Staff;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800427;Chief of Army;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800428;Chief of Navy;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
800429;Chief of Air Force;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
