UPE;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
6199;Anglo-Iranian Oil;T6100;7;1930;1970;aeronautics;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6198;Douglas Aircraft Company;T103;5;1930;1970;mechanics;artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6197;Jahanbin Constructing;T6102;8;1930;1970;naval_engineering;industrial_engineering;aeronautics;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6196;Sarcheshmeh Copper Mines;T6103;7;1930;1970;naval_engineering;electronics;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6195;Siemens Iran;T14;8;1930;1970;aeronautics;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6194;State Aircraft Company;T6105;7;1930;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6193;Trans-Iranian Railway Co.;T6106;6;1930;1970;electronics;chemistry;general_equipment;industrial_engineering;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6192;Gholam Reza Pahlavi;T6107;6;1930;1970;electronics;industrial_engineering;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6191;Reza Pahlavi;T6108;6;1930;1970;electronics;chemistry;general_equipment;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6190;Teheran University;T6109;6;1930;1970;artillery;training;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6189;Tashkent Aviation Production Organisation;T14200;6;1930;1970;large_unit_tactics;combined_arms_focus;training;individual_courage;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6188;Uzbek National University;T14201;9;1930;1970;large_taskforce_tactics;centralized_execution;carrier_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6187;Tashkent Cadet Recruitment Center;T10402;7;1930;1970;bomber_tactics;centralized_execution;piloting;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6186;Karaganda Aircraft Facilities;T11403;7;1930;1970;small_unit_tactics;centralized_execution;combined_arms_focus;aircraft_testing;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6185;Rubtsovsk Machine-Building Plant;T15401;5;1930;1970;nuclear_physics;mathematics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
