CSA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
10500;Bell Aircraft Company;T10500;6;1940;1970;aeronautics;technical_efficiency;electronics;chemistry;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10501;Duke University;T10501;6;1930;1970;mathematics;mechanics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10502;Embry-Riddle Aeronautical University;T10502;5;1930;1970;aeronautics;electronics;technical_efficiency;piloting;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10503;General Motors;T10503;7;1930;1970;mechanics;industrial_engineering;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10504;Gulf Oil Corporation;T10504;8;1930;1970;industrial_engineering;chemistry;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10505;Higgins Industries, Inc.;T105;7;1941;1946;general_equipment;naval_engineering;mechanics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10506;Langley Research Center;T10506;7;1930;1970;aeronautics;technical_efficiency;rocketry;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10507;Newport News Shipbuilding;T109;7;1930;1970;naval_engineering;technical_efficiency;electronics;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10508;Norfolk Naval Yard;T112;9;1930;1970;naval_engineering;technical_efficiency;electronics;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10509;Oak Ridge National Laboratory;T10509;6;1943;1970;nuclear_physics;nuclear_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10510;Redstone Arsenal;T10510;6;1942;1970;chemistry;artillery;technical_efficiency;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10511;Southern Railway;T10511;5;1930;1970;mechanics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10512;Fort Benning;T10512;7;1930;1970;small_unit_tactics;individual_courage;infantry_focus;training;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10513;Marine Corps Base Quantico;T10513;8;1930;1970;small_unit_tactics;large_unit_tactics;combined_arms_focus;training;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10514;The Citadel;T10514;6;1930;1970;small_unit_tactics;decentralized_execution;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10515;Virginia Military Institute;T10515;8;1930;1970;small_unit_tactics;large_unit_tactics;centralized_execution;decentralized_execution;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10516;Norfolk Naval Bases;T10516;7;1930;1970;large_taskforce_tactics;submarine_tactics;carrier_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10517;Langley Field;T10517;7;1930;1970;centralized_execution;aircraft_testing;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10518;Naval Air Station Pensacola;T10518;5;1930;1970;aeronautics;aircraft_testing;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
