POL;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
2700;COP;T2700;4;1930;1970;mechanics;artillery;technical_efficiency;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2701;Stefan Banach;T2701;8;1930;1945;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2702;Stanislaw Ulam;T2702;7;1930;1938;nuclear_physics;nuclear_engineering;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2703;Fab.Broni Radom;T2703;5;1930;1970;general_equipment;artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2704;Fab. Starachowice;T2704;5;1930;1970;artillery;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2705;PWS;T2705;4;1930;1970;aeronautics;chemistry;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2706;PZInz;T2706;6;1930;1970;mechanics;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2707;PZL;T2707;5;1930;1970;aeronautics;chemistry;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2708;Stocznia Gdynia;T2708;4;1930;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2709;Tadeusz Kutrzeba;T2709;4;1930;1944;centralized_execution;large_unit_tactics;training;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2710;Marian Rejewski;T2710;7;1930;1939;mathematics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2711;Ludomil Rayski;T2711;4;1930;1944;aircraft_testing;bomber_tactics;piloting;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2712;Jerzy Swirski;T2712;4;1930;1944;naval_training;small_taskforce_tactics;submarine_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2713;Ministry of National Defence;T2713;4;1945;1970;large_unit_tactics;centralized_execution;small_taskforce_tactics;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
