Black;;;
red;green;blue;index
120;120;120;0
60;60;60;29
40;40;40;50
10;10;10;64
Green;;;
red;green;blue;index
200;250;200;0
150;240;150;20
80;150;90;50
40;110;70;64
Orange;;;
red;green;blue;index
255;255;230;0
246;236;216;17
213;200;171;40
40;40;25;64
light blue;;;
red;green;blue;index
180;210;255;0
80;150;225;20
60;100;190;50
40;80;160;64
light grey;;;
red;green;blue;index
235;235;235;0
210;210;210;9
175;175;175;24
80;80;80;64
light brown;;;
red;green;blue;index
0;200;200;0
0;150;150;20
0;100;100;50
0;75;75;64
dark yellow;;;
red;green;blue;index
240;195;125;0
210;130;30;30
150;100;20;50
90;60;10;64
yellow;;;
red;green;blue;index
255;245;220;0
255;220;100;17
170;160;20;37
10;10;0;64
dark grey;;;
red;green;blue;index
240;240;170;0
180;160;100;29
120;80;30;50
90;60;10;64
light yellow;;;
red;green;blue;index
255;140;0;0
220;120;0;10
180;100;0;24
130;70;0;64
grey;;;
red;green;blue;index
220;220;220;0
170;170;170;30
110;110;110;55
100;100;100;64
dark green;;;
red;green;blue;index
140;210;130;0
100;180;80;20
60;80;50;50
10;60;30;64
blue;;;
red;green;blue;index
255;255;255;0
255;255;255;0
170;180;195;0
90;90;130;64
light red;;;
red;green;blue;index
255;170;170;0
255;128;64;20
200;80;40;35
80;20;10;64
white;;;
red;green;blue;index
255;255;255;0
200;200;220;25
140;140;140;35
80;80;80;64
dark brown;;;
red;green;blue;index
190;125;125;0
170;85;85;10
100;50;50;50
80;40;40;64
red;;;
red;green;blue;index
250;220;200;0
250;60;30;20
200;30;15;30
80;15;7;64
light green;;;
red;green;blue;index
250;250;220;0
190;220;190;25
140;180;155;35
60;60;60;64
light orange;;;
red;green;blue;index
250;230;15;0
220;190;6;6
164;140;0;10
66;60;0;64
brown;;;
red;green;blue;index
179;182;130;0
180;132;80;20
155;111;66;50
150;105;64;64
dark blue;;;
red;green;blue;index
0;180;255;0
0;130;240;0
0;20;120;43
0;10;40;64
dark red;;;
red;green;blue;index
255;0;64;0
220;0;64;13
180;0;64;24
76;0;64;64
dark orange;;;
red;green;blue;index
255;243;200;0
255;220;140;20
229;172;105;30
105;60;25;64
water;;;
red;green;blue;index
153;192;212;0
128;160;176;20
102;128;140;40
51;64;70;64
border;;;
red;green;blue;index
220;0;0;0
220;0;0;4
220;0;0;35
220;0;0;64
border outline;;;
red;green;blue;index
50;0;0;0
50;0;0;4
50;0;0;35
50;0;0;64
UserColor1;;;
red;green;blue;index
120;120;120;0
60;60;60;29
40;40;40;50
10;10;10;64
UserColor2;;;
red;green;blue;index
120;120;120;0
60;60;60;29
40;40;40;50
10;10;10;64
UserColor3;;;
red;green;blue;index
120;120;120;0
60;60;60;29
40;40;40;50
10;10;10;64
UserColor4;;;
red;green;blue;index
120;120;120;0
60;60;60;29
40;40;40;50
10;10;10;64
UserColor5;;;
red;green;blue;index
120;120;120;0
60;60;60;29
40;40;40;50
10;10;10;64
UserColor6;;;
red;green;blue;index
120;120;120;0
60;60;60;29
40;40;40;50
10;10;10;64
